[2026-04-03 00:50:43,601] INFO qdcr.trainer: [train] experiment=baseline_brackish_sample dataset_size=9967 batch_size=4 epochs=3 max_batches=8 device=cuda
[2026-04-03 00:50:44,143] INFO qdcr.trainer: [train] epoch=1 batch=1 loss=2.8432 acc=0.29 iou=0.01 objects=7
[2026-04-03 00:50:44,311] INFO qdcr.trainer: [train] epoch=1 batch=2 loss=2.8896 acc=0.17 iou=0.01 objects=6
[2026-04-03 00:50:44,487] INFO qdcr.trainer: [train] epoch=1 batch=3 loss=2.8826 acc=0.40 iou=0.01 objects=10
[2026-04-03 00:50:44,668] INFO qdcr.trainer: [train] epoch=1 batch=4 loss=3.0545 acc=0.43 iou=0.00 objects=14
[2026-04-03 00:50:44,850] INFO qdcr.trainer: [train] epoch=1 batch=5 loss=2.7544 acc=0.40 iou=0.00 objects=5
[2026-04-03 00:50:45,026] INFO qdcr.trainer: [train] epoch=1 batch=6 loss=2.8053 acc=0.11 iou=0.00 objects=9
[2026-04-03 00:50:45,203] INFO qdcr.trainer: [train] epoch=1 batch=7 loss=2.7340 acc=0.17 iou=0.02 objects=6
[2026-04-03 00:50:45,395] INFO qdcr.trainer: [train] epoch=1 batch=8 loss=2.6675 acc=0.10 iou=0.02 objects=10
[2026-04-03 00:50:45,557] INFO qdcr.trainer: [train] epoch=1 summary loss=2.8497 acc=0.27 iou=0.01 samples=67
[2026-04-03 00:50:45,742] INFO qdcr.trainer: [train] epoch=2 batch=1 loss=2.8364 acc=0.13 iou=0.00 objects=15
[2026-04-03 00:50:45,919] INFO qdcr.trainer: [train] epoch=2 batch=2 loss=2.9478 acc=0.22 iou=0.00 objects=9
[2026-04-03 00:50:46,105] INFO qdcr.trainer: [train] epoch=2 batch=3 loss=2.5514 acc=0.17 iou=0.01 objects=6
[2026-04-03 00:50:46,294] INFO qdcr.trainer: [train] epoch=2 batch=4 loss=2.6401 acc=0.40 iou=0.00 objects=5
[2026-04-03 00:50:46,459] INFO qdcr.trainer: [train] epoch=2 batch=5 loss=2.7965 acc=0.31 iou=0.01 objects=13
[2026-04-03 00:50:46,636] INFO qdcr.trainer: [train] epoch=2 batch=6 loss=2.4702 acc=0.25 iou=0.01 objects=12
[2026-04-03 00:50:46,816] INFO qdcr.trainer: [train] epoch=2 batch=7 loss=2.5578 acc=0.40 iou=0.00 objects=5
[2026-04-03 00:50:46,999] INFO qdcr.trainer: [train] epoch=2 batch=8 loss=2.5428 acc=0.11 iou=0.00 objects=9
[2026-04-03 00:50:47,157] INFO qdcr.trainer: [train] epoch=2 summary loss=2.6926 acc=0.23 iou=0.00 samples=74
[2026-04-03 00:50:47,360] INFO qdcr.trainer: [train] epoch=3 batch=1 loss=2.4387 acc=0.57 iou=0.00 objects=7
[2026-04-03 00:50:47,518] INFO qdcr.trainer: [train] epoch=3 batch=2 loss=2.3637 acc=0.38 iou=0.01 objects=8
[2026-04-03 00:50:47,683] INFO qdcr.trainer: [train] epoch=3 batch=3 loss=2.3724 acc=0.14 iou=0.04 objects=7
[2026-04-03 00:50:47,845] INFO qdcr.trainer: [train] epoch=3 batch=4 loss=2.3493 acc=0.25 iou=0.01 objects=12
[2026-04-03 00:50:48,006] INFO qdcr.trainer: [train] epoch=3 batch=5 loss=2.3037 acc=0.12 iou=0.04 objects=8
[2026-04-03 00:50:48,175] INFO qdcr.trainer: [train] epoch=3 batch=6 loss=2.2693 acc=0.29 iou=0.01 objects=7
[2026-04-03 00:50:48,348] INFO qdcr.trainer: [train] epoch=3 batch=7 loss=2.3514 acc=0.14 iou=0.01 objects=7
[2026-04-03 00:50:48,503] INFO qdcr.trainer: [train] epoch=3 batch=8 loss=2.2993 acc=0.00 iou=0.01 objects=9
[2026-04-03 00:50:48,666] INFO qdcr.trainer: [train] epoch=3 summary loss=2.3423 acc=0.23 iou=0.01 samples=65
