[2026-04-03 00:51:34,859] INFO qdcr.trainer: [train] experiment=qdcr_ruod_sample dataset_size=3013 batch_size=4 epochs=3 max_batches=8 device=cuda
[2026-04-03 00:51:35,417] INFO qdcr.trainer: [train] epoch=1 batch=1 loss=2.8756 acc=0.30 iou=0.02 objects=20
[2026-04-03 00:51:35,595] INFO qdcr.trainer: [train] epoch=1 batch=2 loss=2.5436 acc=0.40 iou=0.05 objects=20
[2026-04-03 00:51:35,874] INFO qdcr.trainer: [train] epoch=1 batch=3 loss=2.7164 acc=0.31 iou=0.02 objects=16
[2026-04-03 00:51:36,173] INFO qdcr.trainer: [train] epoch=1 batch=4 loss=2.5767 acc=0.19 iou=0.05 objects=21
[2026-04-03 00:51:36,324] INFO qdcr.trainer: [train] epoch=1 batch=5 loss=2.4565 acc=0.43 iou=0.05 objects=21
[2026-04-03 00:51:36,598] INFO qdcr.trainer: [train] epoch=1 batch=6 loss=2.3057 acc=0.36 iou=0.07 objects=25
[2026-04-03 00:51:36,754] INFO qdcr.trainer: [train] epoch=1 batch=7 loss=2.4332 acc=0.33 iou=0.07 objects=21
[2026-04-03 00:51:36,908] INFO qdcr.trainer: [train] epoch=1 batch=8 loss=2.6384 acc=0.19 iou=0.02 objects=26
[2026-04-03 00:51:37,200] INFO qdcr.trainer: [train] epoch=1 summary loss=2.5581 acc=0.31 iou=0.04 samples=170
[2026-04-03 00:51:37,490] INFO qdcr.trainer: [train] epoch=2 batch=1 loss=2.2654 acc=0.20 iou=0.09 objects=15
[2026-04-03 00:51:37,750] INFO qdcr.trainer: [train] epoch=2 batch=2 loss=2.6442 acc=0.04 iou=0.02 objects=23
[2026-04-03 00:51:38,049] INFO qdcr.trainer: [train] epoch=2 batch=3 loss=2.3803 acc=0.14 iou=0.04 objects=21
[2026-04-03 00:51:38,320] INFO qdcr.trainer: [train] epoch=2 batch=4 loss=2.3674 acc=0.45 iou=0.03 objects=11
[2026-04-03 00:51:38,626] INFO qdcr.trainer: [train] epoch=2 batch=5 loss=2.3952 acc=0.16 iou=0.02 objects=19
[2026-04-03 00:51:39,052] INFO qdcr.trainer: [train] epoch=2 batch=6 loss=2.4869 acc=0.26 iou=0.03 objects=23
[2026-04-03 00:51:39,334] INFO qdcr.trainer: [train] epoch=2 batch=7 loss=2.3500 acc=0.40 iou=0.02 objects=25
[2026-04-03 00:51:39,389] INFO qdcr.trainer: [train] epoch=2 batch=8 loss=2.3750 acc=0.16 iou=0.06 objects=25
[2026-04-03 00:51:39,546] INFO qdcr.trainer: [train] epoch=2 summary loss=2.4176 acc=0.22 iou=0.04 samples=162
[2026-04-03 00:51:39,859] INFO qdcr.trainer: [train] epoch=3 batch=1 loss=2.5160 acc=0.19 iou=0.01 objects=16
[2026-04-03 00:51:40,268] INFO qdcr.trainer: [train] epoch=3 batch=2 loss=2.4708 acc=0.32 iou=0.01 objects=31
[2026-04-03 00:51:40,558] INFO qdcr.trainer: [train] epoch=3 batch=3 loss=2.3793 acc=0.08 iou=0.02 objects=24
[2026-04-03 00:51:40,736] INFO qdcr.trainer: [train] epoch=3 batch=4 loss=2.1281 acc=0.30 iou=0.05 objects=27
[2026-04-03 00:51:40,909] INFO qdcr.trainer: [train] epoch=3 batch=5 loss=2.1947 acc=0.24 iou=0.04 objects=21
[2026-04-03 00:51:41,333] INFO qdcr.trainer: [train] epoch=3 batch=6 loss=2.2038 acc=0.12 iou=0.02 objects=17
[2026-04-03 00:51:41,667] INFO qdcr.trainer: [train] epoch=3 batch=7 loss=2.1570 acc=0.33 iou=0.03 objects=27
[2026-04-03 00:51:41,719] INFO qdcr.trainer: [train] epoch=3 batch=8 loss=2.0289 acc=0.28 iou=0.10 objects=25
[2026-04-03 00:51:42,009] INFO qdcr.trainer: [train] epoch=3 summary loss=2.2549 acc=0.24 iou=0.03 samples=188
