step	tag	value
1	train/loss_step	1.54155254
1	train/lr	0.00050000
1	train/batch_acc	0.37931034
1	train/batch_box_iou	0.04967591
1	train/batch_cls_loss	1.29010952
1	train/batch_box_loss	0.05028860
2	train/loss_step	1.30855179
2	train/lr	0.00050000
2	train/batch_acc	0.33333333
2	train/batch_box_iou	0.15487970
2	train/batch_cls_loss	1.14692080
2	train/batch_box_loss	0.03232621
3	train/loss_step	1.66858625
3	train/lr	0.00050000
3	train/batch_acc	0.17391304
3	train/batch_box_iou	0.11258361
3	train/batch_cls_loss	1.51444137
3	train/batch_box_loss	0.03082898
4	train/loss_step	1.43413794
4	train/lr	0.00050000
4	train/batch_acc	0.47619048
4	train/batch_box_iou	0.07106865
4	train/batch_cls_loss	1.24191356
4	train/batch_box_loss	0.03844488
5	train/loss_step	1.50188875
5	train/lr	0.00050000
5	train/batch_acc	0.40000000
5	train/batch_box_iou	0.04170030
5	train/batch_cls_loss	1.30442810
5	train/batch_box_loss	0.03949212
6	train/loss_step	1.73865318
6	train/lr	0.00050000
6	train/batch_acc	0.03703704
6	train/batch_box_iou	0.04909213
6	train/batch_cls_loss	1.53236067
6	train/batch_box_loss	0.04125850
7	train/loss_step	1.33623636
7	train/lr	0.00050000
7	train/batch_acc	0.25000000
7	train/batch_box_iou	0.08365700
7	train/batch_cls_loss	1.25918329
7	train/batch_box_loss	0.01541062
8	train/loss_step	1.51068223
8	train/lr	0.00050000
8	train/batch_acc	0.18750000
8	train/batch_box_iou	0.05327704
8	train/batch_cls_loss	1.24756336
8	train/batch_box_loss	0.05262378
9	train/loss_step	1.40892529
9	train/lr	0.00050000
9	train/batch_acc	0.36000000
9	train/batch_box_iou	0.09375857
9	train/batch_cls_loss	1.20126855
9	train/batch_box_loss	0.04153134
10	train/loss_step	1.34331942
10	train/lr	0.00050000
10	train/batch_acc	0.46428571
10	train/batch_box_iou	0.07948070
10	train/batch_cls_loss	1.14228046
10	train/batch_box_loss	0.04020780
11	train/loss_step	1.48827612
11	train/lr	0.00050000
11	train/batch_acc	0.20833333
11	train/batch_box_iou	0.09023054
11	train/batch_cls_loss	1.26961160
11	train/batch_box_loss	0.04373291
12	train/loss_step	1.48592687
12	train/lr	0.00050000
12	train/batch_acc	0.45833333
12	train/batch_box_iou	0.07589068
12	train/batch_cls_loss	1.29868650
12	train/batch_box_loss	0.03744808
13	train/loss_step	1.71359682
13	train/lr	0.00050000
13	train/batch_acc	0.21052632
13	train/batch_box_iou	0.04835306
13	train/batch_cls_loss	1.50599110
13	train/batch_box_loss	0.04152114
14	train/loss_step	1.49803948
14	train/lr	0.00050000
14	train/batch_acc	0.33333333
14	train/batch_box_iou	0.10584027
14	train/batch_cls_loss	1.36763453
14	train/batch_box_loss	0.02608098
15	train/loss_step	1.87440896
15	train/lr	0.00050000
15	train/batch_acc	0.60869565
15	train/batch_box_iou	0.02689078
15	train/batch_cls_loss	1.47771502
15	train/batch_box_loss	0.07933880
16	train/loss_step	1.68322968
16	train/lr	0.00050000
16	train/batch_acc	0.15000000
16	train/batch_box_iou	0.06443097
16	train/batch_cls_loss	1.47807121
16	train/batch_box_loss	0.04103171
17	train/loss_step	1.40419710
17	train/lr	0.00050000
17	train/batch_acc	0.21739130
17	train/batch_box_iou	0.06545828
17	train/batch_cls_loss	1.22157550
17	train/batch_box_loss	0.03652431
18	train/loss_step	1.73519576
18	train/lr	0.00050000
18	train/batch_acc	0.41666667
18	train/batch_box_iou	0.07264742
18	train/batch_cls_loss	1.49220800
18	train/batch_box_loss	0.04859754
19	train/loss_step	1.26743650
19	train/lr	0.00050000
19	train/batch_acc	0.58620690
19	train/batch_box_iou	0.09858022
19	train/batch_cls_loss	1.07595408
19	train/batch_box_loss	0.03829648
20	train/loss_step	1.57034731
20	train/lr	0.00050000
20	train/batch_acc	0.11764706
20	train/batch_box_iou	0.05675169
20	train/batch_cls_loss	1.36253166
20	train/batch_box_loss	0.04156312
21	train/loss_step	1.45352066
21	train/lr	0.00050000
21	train/batch_acc	0.33333333
21	train/batch_box_iou	0.03467533
21	train/batch_cls_loss	1.21594882
21	train/batch_box_loss	0.04751436
22	train/loss_step	1.45953143
22	train/lr	0.00050000
22	train/batch_acc	0.35294118
22	train/batch_box_iou	0.05314513
22	train/batch_cls_loss	1.30344069
22	train/batch_box_loss	0.03121814
23	train/loss_step	1.50862193
23	train/lr	0.00050000
23	train/batch_acc	0.40000000
23	train/batch_box_iou	0.01851703
23	train/batch_cls_loss	1.38406670
23	train/batch_box_loss	0.02491105
24	train/loss_step	1.35195732
24	train/lr	0.00050000
24	train/batch_acc	0.50000000
24	train/batch_box_iou	0.04846695
24	train/batch_cls_loss	1.15435231
24	train/batch_box_loss	0.03952101
25	train/loss_step	1.48336613
25	train/lr	0.00050000
25	train/batch_acc	0.42105263
25	train/batch_box_iou	0.08536920
25	train/batch_cls_loss	1.29686892
25	train/batch_box_loss	0.03729944
26	train/loss_step	1.90922534
26	train/lr	0.00050000
26	train/batch_acc	0.30434783
26	train/batch_box_iou	0.05957480
26	train/batch_cls_loss	1.63862073
26	train/batch_box_loss	0.05412092
27	train/loss_step	1.50915468
27	train/lr	0.00050000
27	train/batch_acc	0.15000000
27	train/batch_box_iou	0.08861513
27	train/batch_cls_loss	1.36885619
27	train/batch_box_loss	0.02805969
28	train/loss_step	1.60400271
28	train/lr	0.00050000
28	train/batch_acc	0.08333333
28	train/batch_box_iou	0.11240327
28	train/batch_cls_loss	1.43434405
28	train/batch_box_loss	0.03393172
29	train/loss_step	1.86830115
29	train/lr	0.00050000
29	train/batch_acc	0.15000000
29	train/batch_box_iou	0.13944899
29	train/batch_cls_loss	1.65181446
29	train/batch_box_loss	0.04329735
30	train/loss_step	2.24160981
30	train/lr	0.00050000
30	train/batch_acc	0.00000000
30	train/batch_box_iou	0.08498918
30	train/batch_cls_loss	2.07109547
30	train/batch_box_loss	0.03410288
31	train/loss_step	1.68386745
31	train/lr	0.00050000
31	train/batch_acc	0.09090909
31	train/batch_box_iou	0.09069733
31	train/batch_cls_loss	1.45616627
31	train/batch_box_loss	0.04554025
32	train/loss_step	1.47303629
32	train/lr	0.00050000
