step	tag	value
1	train/loss_step	4.13231707
1	train/lr	0.00050000
1	train/batch_acc	0.00000000
1	train/batch_box_iou	0.00733681
1	train/batch_cls_loss	1.84285116
1	train/batch_box_loss	0.06082794
2	train/loss_step	4.00593805
2	train/lr	0.00050000
2	train/batch_acc	0.03703704
2	train/batch_box_iou	0.02983666
2	train/batch_cls_loss	1.81280398
2	train/batch_box_loss	0.05056147
3	train/loss_step	4.02276039
3	train/lr	0.00050000
3	train/batch_acc	0.00000000
3	train/batch_box_iou	0.02124508
3	train/batch_cls_loss	1.80588603
3	train/batch_box_loss	0.05187290
4	train/loss_step	4.00883675
4	train/lr	0.00050000
4	train/batch_acc	0.25000000
4	train/batch_box_iou	0.02166940
4	train/batch_cls_loss	1.77869797
4	train/batch_box_loss	0.05469546
5	train/loss_step	3.99942255
5	train/lr	0.00050000
5	train/batch_acc	0.42307692
5	train/batch_box_iou	0.01223366
5	train/batch_cls_loss	1.75660110
5	train/batch_box_loss	0.05345776
6	train/loss_step	4.03288555
6	train/lr	0.00050000
6	train/batch_acc	0.18750000
6	train/batch_box_iou	0.01137955
6	train/batch_cls_loss	1.78893447
6	train/batch_box_loss	0.05334204
7	train/loss_step	4.06538820
7	train/lr	0.00050000
7	train/batch_acc	0.12500000
7	train/batch_box_iou	0.00331708
7	train/batch_cls_loss	1.76097107
7	train/batch_box_loss	0.06221030
8	train/loss_step	4.04022884
8	train/lr	0.00050000
8	train/batch_acc	0.03571429
8	train/batch_box_iou	0.02087706
8	train/batch_cls_loss	1.83720219
8	train/batch_box_loss	0.04895617
9	train/loss_step	4.06271076
9	train/lr	0.00050000
9	train/batch_acc	0.13333333
9	train/batch_box_iou	0.01261344
9	train/batch_cls_loss	1.80614877
9	train/batch_box_loss	0.05635770
10	train/loss_step	3.99172831
10	train/lr	0.00050000
10	train/batch_acc	0.11538462
10	train/batch_box_iou	0.01807263
10	train/batch_cls_loss	1.76561332
10	train/batch_box_loss	0.05245205
11	train/loss_step	4.02421856
11	train/lr	0.00050000
