step	tag	value
1	train/loss_step	4.04325342
1	train/lr	0.00050000
1	train/batch_acc	0.23529412
1	train/batch_box_iou	0.00922375
1	train/batch_cls_loss	1.77115488
1	train/batch_box_loss	0.05810918
2	train/loss_step	4.03380585
2	train/lr	0.00050000
2	train/batch_acc	0.25000000
2	train/batch_box_iou	0.00705535
2	train/batch_cls_loss	1.78150320
2	train/batch_box_loss	0.05328265
3	train/loss_step	3.87885165
3	train/lr	0.00050000
3	train/batch_acc	0.33333333
3	train/batch_box_iou	0.03945717
3	train/batch_cls_loss	1.72787428
3	train/batch_box_loss	0.04597836
4	train/loss_step	4.13954163
4	train/lr	0.00050000
4	train/batch_acc	0.10000000
4	train/batch_box_iou	0.00796587
4	train/batch_cls_loss	1.90533566
4	train/batch_box_loss	0.05002754
5	train/loss_step	3.98694158
5	train/lr	0.00050000
5	train/batch_acc	0.18181818
5	train/batch_box_iou	0.02261863
5	train/batch_cls_loss	1.76490343
5	train/batch_box_loss	0.05345510
6	train/loss_step	3.95263290
6	train/lr	0.00050000
6	train/batch_acc	0.00000000
6	train/batch_box_iou	0.02389119
6	train/batch_cls_loss	1.77170980
6	train/batch_box_loss	0.04574110
7	train/loss_step	3.98961592
7	train/lr	0.00050000
7	train/batch_acc	0.11764706
7	train/batch_box_iou	0.01352836
7	train/batch_cls_loss	1.77020955
7	train/batch_box_loss	0.04929259
8	train/loss_step	4.08453560
8	train/lr	0.00050000
8	train/batch_acc	0.08695652
8	train/batch_box_iou	0.01569881
8	train/batch_cls_loss	1.89485145
8	train/batch_box_loss	0.04421632
9	train/loss_step	3.93528080
9	train/lr	0.00050000
9	train/batch_acc	0.11111111
9	train/batch_box_iou	0.01251839
9	train/batch_cls_loss	1.71376920
9	train/batch_box_loss	0.04930969
10	train/loss_step	4.01750088
10	train/lr	0.00050000
10	train/batch_acc	0.12500000
10	train/batch_box_iou	0.01558499
10	train/batch_cls_loss	1.82035184
10	train/batch_box_loss	0.04566377
11	train/loss_step	3.96428370
11	train/lr	0.00050000
11	train/batch_acc	0.00000000
11	train/batch_box_iou	0.01784766
11	train/batch_cls_loss	1.78507733
11	train/batch_box_loss	0.04298034
12	train/loss_step	3.89133310
12	train/lr	0.00050000
12	train/batch_acc	0.27777778
12	train/batch_box_iou	0.01750928
12	train/batch_cls_loss	1.71655786
12	train/batch_box_loss	0.04195873
13	train/loss_step	4.07185936
13	train/lr	0.00050000
13	train/batch_acc	0.05000000
13	train/batch_box_iou	0.01062057
13	train/batch_cls_loss	1.84971476
13	train/batch_box_loss	0.04867721
14	train/loss_step	4.07862997
14	train/lr	0.00050000
14	train/batch_acc	0.00000000
14	train/batch_box_iou	0.00314399
14	train/batch_cls_loss	1.86157870
14	train/batch_box_loss	0.04466781
15	train/loss_step	3.89015818
15	train/lr	0.00050000
15	train/batch_acc	0.11764706
15	train/batch_box_iou	0.00608763
15	train/batch_cls_loss	1.66824234
15	train/batch_box_loss	0.04681823
16	train/loss_step	3.85301781
16	train/lr	0.00050000
16	train/batch_acc	0.22222222
16	train/batch_box_iou	0.01292247
16	train/batch_cls_loss	1.65198100
16	train/batch_box_loss	0.04537635
1	train/loss_epoch	3.99426365
1	train/epoch_acc	0.13531353
1	train/epoch_box_iou	0.01421440
1	val/loss	4.02597567
1	val/acc	0.14545455
1	val/box_iou	0.01617140
1	val/mAP	0.00000000
1	val/mAP50_95	0.00000000
1	val/precision	0.00000000
1	val/recall	0.00000000
1	train/early_stop_loss	4.02597567
17	train/loss_step	4.06889725
17	train/lr	0.00050000
17	train/batch_acc	0.15384615
17	train/batch_box_iou	0.00789580
17	train/batch_cls_loss	1.88008475
17	train/batch_box_loss	0.04092083
18	train/loss_step	3.77184629
18	train/lr	0.00050000
18	train/batch_acc	0.40000000
18	train/batch_box_iou	0.01855757
18	train/batch_cls_loss	1.59824598
18	train/batch_box_loss	0.04214308
19	train/loss_step	4.01266003
19	train/lr	0.00050000
19	train/batch_acc	0.00000000
19	train/batch_box_iou	0.00633800
19	train/batch_cls_loss	1.80652595
19	train/batch_box_loss	0.04376208
20	train/loss_step	3.80866003
20	train/lr	0.00050000
