step	tag	value
1	train/loss_step	2.84386301
1	train/lr	0.00050000
1	train/batch_acc	0.00000000
1	train/batch_box_iou	0.00478017
1	train/batch_cls_loss	0.56135207
1	train/batch_box_loss	0.05841429
2	train/loss_step	3.18160248
2	train/lr	0.00050000
2	train/batch_acc	0.04545455
2	train/batch_box_iou	0.02751472
2	train/batch_cls_loss	0.97939491
2	train/batch_box_loss	0.05144739
3	train/loss_step	3.25895333
3	train/lr	0.00050000
3	train/batch_acc	0.08695652
3	train/batch_box_iou	0.01659056
3	train/batch_cls_loss	1.02401578
3	train/batch_box_loss	0.05362372
4	train/loss_step	2.94758892
4	train/lr	0.00050000
4	train/batch_acc	0.14285714
4	train/batch_box_iou	0.02144294
4	train/batch_cls_loss	0.73851955
4	train/batch_box_loss	0.05039103
5	train/loss_step	3.00528717
5	train/lr	0.00050000
5	train/batch_acc	0.06666667
5	train/batch_box_iou	0.01005767
5	train/batch_cls_loss	0.74382186
5	train/batch_box_loss	0.05631614
6	train/loss_step	3.27839160
6	train/lr	0.00050000
6	train/batch_acc	0.23076923
6	train/batch_box_iou	0.01650224
6	train/batch_cls_loss	1.04306304
6	train/batch_box_loss	0.05366662
7	train/loss_step	3.13120675
7	train/lr	0.00050000
7	train/batch_acc	0.04761905
7	train/batch_box_iou	0.03172904
7	train/batch_cls_loss	0.97024190
7	train/batch_box_loss	0.04488459
8	train/loss_step	3.10118294
8	train/lr	0.00050000
8	train/batch_acc	0.25000000
8	train/batch_box_iou	0.01555414
8	train/batch_cls_loss	0.86810410
8	train/batch_box_loss	0.05283738
9	train/loss_step	3.07728934
9	train/lr	0.00050000
9	train/batch_acc	0.16666667
9	train/batch_box_iou	0.01043950
9	train/batch_cls_loss	0.83786917
9	train/batch_box_loss	0.05205984
10	train/loss_step	3.04186249
10	train/lr	0.00050000
10	train/batch_acc	0.17647059
10	train/batch_box_iou	0.00951717
10	train/batch_cls_loss	0.76353729
10	train/batch_box_loss	0.05947192
11	train/loss_step	3.30993009
11	train/lr	0.00050000
11	train/batch_acc	0.10714286
11	train/batch_box_iou	0.01591828
11	train/batch_cls_loss	1.09110963
11	train/batch_box_loss	0.05013141
12	train/loss_step	3.04560971
12	train/lr	0.00050000
12	train/batch_acc	0.20000000
12	train/batch_box_iou	0.01716393
12	train/batch_cls_loss	0.83368409
12	train/batch_box_loss	0.04925070
13	train/loss_step	2.98898649
13	train/lr	0.00050000
13	train/batch_acc	0.16666667
13	train/batch_box_iou	0.01997206
13	train/batch_cls_loss	0.80072701
13	train/batch_box_loss	0.04564071
14	train/loss_step	2.95407248
14	train/lr	0.00050000
14	train/batch_acc	0.11764706
14	train/batch_box_iou	0.01980911
14	train/batch_cls_loss	0.77379781
14	train/batch_box_loss	0.04397855
15	train/loss_step	3.39480495
15	train/lr	0.00050000
15	train/batch_acc	0.20689655
15	train/batch_box_iou	0.01298956
15	train/batch_cls_loss	1.15511668
15	train/batch_box_loss	0.05313349
16	train/loss_step	3.00543022
16	train/lr	0.00050000
16	train/batch_acc	0.36363636
16	train/batch_box_iou	0.03322976
16	train/batch_cls_loss	0.85962129
16	train/batch_box_loss	0.04245368
1	train/loss_epoch	3.13226203
1	train/epoch_acc	0.15673981
1	train/epoch_box_iou	0.01827631
1	val/loss	3.21655610
1	val/acc	0.14242424
1	val/box_iou	0.01821809
1	val/mAP	0.00000000
1	val/mAP50_95	0.00000000
1	val/precision	0.00000000
1	val/recall	0.00000000
1	train/early_stop_loss	3.21655610
17	train/loss_step	3.26344419
17	train/lr	0.00050000
17	train/batch_acc	0.20689655
17	train/batch_box_iou	0.02584725
17	train/batch_cls_loss	1.08288932
17	train/batch_box_loss	0.04644988
