step	tag	value
1	train/loss_step	3.55560207
1	train/lr	0.00050000
1	train/batch_acc	0.25000000
1	train/batch_box_iou	0.00847661
1	train/batch_cls_loss	1.31401837
1	train/batch_box_loss	0.05170741
2	train/loss_step	3.55594206
2	train/lr	0.00050000
2	train/batch_acc	0.21428571
2	train/batch_box_iou	0.01090582
2	train/batch_cls_loss	1.34610391
2	train/batch_box_loss	0.04632994
3	train/loss_step	2.79752016
3	train/lr	0.00050000
3	train/batch_acc	0.00000000
3	train/batch_box_iou	0.01129508
3	train/batch_cls_loss	0.61546630
3	train/batch_box_loss	0.04092881
4	train/loss_step	3.42259216
4	train/lr	0.00050000
4	train/batch_acc	0.28571429
4	train/batch_box_iou	0.01166208
4	train/batch_cls_loss	1.21900725
4	train/batch_box_loss	0.04538179
5	train/loss_step	3.08781004
5	train/lr	0.00050000
5	train/batch_acc	0.40000000
5	train/batch_box_iou	0.00886177
5	train/batch_cls_loss	0.85982466
5	train/batch_box_loss	0.04914176
6	train/loss_step	3.04880190
6	train/lr	0.00050000
6	train/batch_acc	0.23809524
6	train/batch_box_iou	0.01068599
6	train/batch_cls_loss	0.86842811
6	train/batch_box_loss	0.04034917
7	train/loss_step	3.12539625
7	train/lr	0.00050000
7	train/batch_acc	0.17391304
7	train/batch_box_iou	0.03013064
7	train/batch_cls_loss	1.00376868
7	train/batch_box_loss	0.03637776
8	train/loss_step	3.11107874
8	train/lr	0.00050000
8	train/batch_acc	0.14285714
8	train/batch_box_iou	0.02083154
8	train/batch_cls_loss	0.95572650
8	train/batch_box_loss	0.03940304
9	train/loss_step	3.05627322
9	train/lr	0.00050000
9	train/batch_acc	0.25000000
9	train/batch_box_iou	0.00321214
9	train/batch_cls_loss	0.82599795
9	train/batch_box_loss	0.04733991
10	train/loss_step	2.99723625
10	train/lr	0.00050000
10	train/batch_acc	0.26315789
10	train/batch_box_iou	0.03047214
10	train/batch_cls_loss	0.88546348
10	train/batch_box_loss	0.03454341
11	train/loss_step	2.83652067
11	train/lr	0.00050000
11	train/batch_acc	0.00000000
11	train/batch_box_iou	0.01178904
11	train/batch_cls_loss	0.64940500
11	train/batch_box_loss	0.04213874
12	train/loss_step	2.96914959
12	train/lr	0.00050000
12	train/batch_acc	0.61904762
12	train/batch_box_iou	0.02179345
12	train/batch_cls_loss	0.82349658
12	train/batch_box_loss	0.03784799
13	train/loss_step	2.95856214
13	train/lr	0.00050000
13	train/batch_acc	0.14285714
13	train/batch_box_iou	0.02383563
13	train/batch_cls_loss	0.82946426
13	train/batch_box_loss	0.03535384
14	train/loss_step	3.10659695
14	train/lr	0.00050000
14	train/batch_acc	0.41666667
14	train/batch_box_iou	0.02545274
14	train/batch_cls_loss	0.97426075
14	train/batch_box_loss	0.03664835
15	train/loss_step	2.92948151
15	train/lr	0.00050000
15	train/batch_acc	0.31250000
15	train/batch_box_iou	0.00535643
15	train/batch_cls_loss	0.74913645
15	train/batch_box_loss	0.03821157
16	train/loss_step	2.87882733
16	train/lr	0.00050000
16	train/batch_acc	0.00000000
16	train/batch_box_iou	0.04910044
16	train/batch_cls_loss	0.83884215
16	train/batch_box_loss	0.02763723
1	train/loss_epoch	3.13934201
1	train/epoch_acc	0.24846626
1	train/epoch_box_iou	0.01774978
1	val/loss	3.16805334
1	val/acc	0.12727273
1	val/box_iou	0.01842014
1	val/mAP	0.00000000
1	val/mAP50_95	0.00000000
1	val/precision	0.00000000
1	val/recall	0.00000000
1	train/early_stop_loss	3.16805334
17	train/loss_step	3.18273544
17	train/lr	0.00050000
17	train/batch_acc	0.03846154
17	train/batch_box_iou	0.02360209
17	train/batch_cls_loss	1.07026958
17	train/batch_box_loss	0.03193399
18	train/loss_step	3.01911306
18	train/lr	0.00050000
18	train/batch_acc	0.26086957
18	train/batch_box_iou	0.02088558
18	train/batch_cls_loss	0.87740016
18	train/batch_box_loss	0.03669680
19	train/loss_step	3.09206486
19	train/lr	0.00050000
19	train/batch_acc	0.18181818
19	train/batch_box_iou	0.02328489
19	train/batch_cls_loss	0.95282507
19	train/batch_box_loss	0.03716195
20	train/loss_step	2.92298841
20	train/lr	0.00050000
20	train/batch_acc	0.36842105
20	train/batch_box_iou	0.00864658
20	train/batch_cls_loss	0.73225796
20	train/batch_box_loss	0.04160471
21	train/loss_step	3.14436412
21	train/lr	0.00050000
21	train/batch_acc	0.04347826
21	train/batch_box_iou	0.01423953
21	train/batch_cls_loss	1.00173318
21	train/batch_box_loss	0.03422200
22	train/loss_step	2.79928851
22	train/lr	0.00050000
22	train/batch_acc	0.18750000
22	train/batch_box_iou	0.03521117
22	train/batch_cls_loss	0.73557568
22	train/batch_box_loss	0.02682704
23	train/loss_step	3.21469164
23	train/lr	0.00050000
23	train/batch_acc	0.19230769
23	train/batch_box_iou	0.01980460
23	train/batch_cls_loss	1.05467415
23	train/batch_box_loss	0.03992531
24	train/loss_step	2.72392893
24	train/lr	0.00050000
24	train/batch_acc	0.16666667
24	train/batch_box_iou	0.02039078
24	train/batch_cls_loss	0.60124940
24	train/batch_box_loss	0.03269223
25	train/loss_step	2.72521544
25	train/lr	0.00050000
25	train/batch_acc	0.23076923
25	train/batch_box_iou	0.02303392
25	train/batch_cls_loss	0.62222487
25	train/batch_box_loss	0.02981168
26	train/loss_step	2.63409233
26	train/lr	0.00050000
26	train/batch_acc	0.61538462
26	train/batch_box_iou	0.03610786
26	train/batch_cls_loss	0.57454395
26	train/batch_box_loss	0.02635280
27	train/loss_step	3.22778201
27	train/lr	0.00050000
27	train/batch_acc	0.13793103
27	train/batch_box_iou	0.02673415
27	train/batch_cls_loss	1.15208936
27	train/batch_box_loss	0.02583219
28	train/loss_step	3.09892106
28	train/lr	0.00050000
28	train/batch_acc	0.23076923
28	train/batch_box_iou	0.02972928
28	train/batch_cls_loss	1.02088785
28	train/batch_box_loss	0.02749834
29	train/loss_step	2.64608669
29	train/lr	0.00050000
29	train/batch_acc	0.53333333
29	train/batch_box_iou	0.04619238
29	train/batch_cls_loss	0.62843788
29	train/batch_box_loss	0.02200671
30	train/loss_step	3.03165483
30	train/lr	0.00050000
30	train/batch_acc	0.41666667
30	train/batch_box_iou	0.01045272
30	train/batch_cls_loss	0.90512115
30	train/batch_box_loss	0.02948786
31	train/loss_step	2.71835399
31	train/lr	0.00050000
31	train/batch_acc	0.94444444
31	train/batch_box_iou	0.02142278
31	train/batch_cls_loss	0.62313467
31	train/batch_box_loss	0.02761298
32	train/loss_step	3.13258958
32	train/lr	0.00050000
32	train/batch_acc	0.18518519
32	train/batch_box_iou	0.00817205
32	train/batch_cls_loss	0.98934436
32	train/batch_box_loss	0.03191786
2	train/loss_epoch	3.00885838
2	train/epoch_acc	0.27108434
2	train/epoch_box_iou	0.02195233
2	val/loss	2.99462765
2	val/acc	0.36969697
2	val/box_iou	0.02137643
2	val/mAP	0.00000000
2	val/mAP50_95	0.00000000
2	val/precision	0.00000000
2	val/recall	0.00000000
2	train/early_stop_loss	2.99462765
33	train/loss_step	3.10326838
33	train/lr	0.00050000
33	train/batch_acc	0.03225806
33	train/batch_box_iou	0.06424074
33	train/batch_cls_loss	1.12883139
33	train/batch_box_loss	0.02058369
34	train/loss_step	2.95244622
34	train/lr	0.00050000
34	train/batch_acc	0.10000000
34	train/batch_box_iou	0.02062055
34	train/batch_cls_loss	0.86701202
34	train/batch_box_loss	0.02533506
35	train/loss_step	3.02297139
35	train/lr	0.00050000
35	train/batch_acc	0.38461538
35	train/batch_box_iou	0.00783851
35	train/batch_cls_loss	0.87797469
35	train/batch_box_loss	0.03213474
36	train/loss_step	2.95580411
36	train/lr	0.00050000
36	train/batch_acc	0.26086957
36	train/batch_box_iou	0.02580614
36	train/batch_cls_loss	0.88585234
36	train/batch_box_loss	0.02431280
37	train/loss_step	2.70795989
37	train/lr	0.00050000
37	train/batch_acc	0.10000000
37	train/batch_box_iou	0.00059350
37	train/batch_cls_loss	0.53996277
37	train/batch_box_loss	0.03383682
38	train/loss_step	2.63034534
38	train/lr	0.00050000
38	train/batch_acc	0.50000000
38	train/batch_box_iou	0.04912682
38	train/batch_cls_loss	0.63560104
38	train/batch_box_loss	0.01859956
39	train/loss_step	2.85041070
39	train/lr	0.00050000
39	train/batch_acc	0.50000000
39	train/batch_box_iou	0.01632291
39	train/batch_cls_loss	0.75272912
39	train/batch_box_loss	0.02606547
40	train/loss_step	2.86199951
40	train/lr	0.00050000
40	train/batch_acc	0.05263158
40	train/batch_box_iou	0.01527820
40	train/batch_cls_loss	0.78037733
40	train/batch_box_loss	0.02243570
41	train/loss_step	2.76847291
41	train/lr	0.00050000
41	train/batch_acc	0.11764706
41	train/batch_box_iou	0.03161570
41	train/batch_cls_loss	0.70610219
41	train/batch_box_loss	0.02512042
42	train/loss_step	2.69167066
42	train/lr	0.00050000
42	train/batch_acc	0.36842105
42	train/batch_box_iou	0.05984853
42	train/batch_cls_loss	0.71293151
42	train/batch_box_loss	0.01968725
43	train/loss_step	3.00487518
43	train/lr	0.00050000
43	train/batch_acc	0.33333333
43	train/batch_box_iou	0.01116935
43	train/batch_cls_loss	0.91387022
43	train/batch_box_loss	0.02266873
44	train/loss_step	2.70218992
44	train/lr	0.00050000
44	train/batch_acc	0.25000000
44	train/batch_box_iou	0.03598974
44	train/batch_cls_loss	0.66060275
44	train/batch_box_loss	0.02271336
45	train/loss_step	2.72260237
45	train/lr	0.00050000
45	train/batch_acc	0.18750000
45	train/batch_box_iou	0.03244822
45	train/batch_cls_loss	0.67274159
45	train/batch_box_loss	0.02295143
46	train/loss_step	3.10761261
46	train/lr	0.00050000
46	train/batch_acc	0.20000000
46	train/batch_box_iou	0.02883379
46	train/batch_cls_loss	1.05856764
46	train/batch_box_loss	0.02134253
47	train/loss_step	2.93455076
47	train/lr	0.00050000
47	train/batch_acc	0.00000000
47	train/batch_box_iou	0.01719041
47	train/batch_cls_loss	0.84665400
47	train/batch_box_loss	0.02445554
48	train/loss_step	2.78694725
48	train/lr	0.00050000
48	train/batch_acc	0.35000000
48	train/batch_box_iou	0.01741103
48	train/batch_cls_loss	0.71652400
48	train/batch_box_loss	0.02104907
3	train/loss_epoch	2.89474756
3	train/epoch_acc	0.23493976
3	train/epoch_box_iou	0.02817084
3	val/loss	2.78663909
3	val/acc	0.43939394
3	val/box_iou	0.02510784
3	val/mAP	0.00000000
3	val/mAP50_95	0.00000000
3	val/precision	0.00000000
3	val/recall	0.00000000
3	train/early_stop_loss	2.78663909
