step	tag	value
1	train/loss_step	2.94644690
1	train/lr	0.00030000
1	train/batch_acc	0.20000000
1	train/batch_box_iou	0.00841462
1	train/batch_cls_loss	0.47670105
1	train/batch_box_loss	0.09731500
2	train/loss_step	2.94411325
2	train/lr	0.00030000
2	train/batch_acc	0.09090909
2	train/batch_box_iou	0.00243131
2	train/batch_cls_loss	0.48708284
2	train/batch_box_loss	0.09237862
3	train/loss_step	2.85644150
3	train/lr	0.00030000
3	train/batch_acc	0.18181818
3	train/batch_box_iou	0.01050848
3	train/batch_cls_loss	0.48353565
3	train/batch_box_loss	0.07878458
4	train/loss_step	2.80423856
4	train/lr	0.00030000
4	train/batch_acc	0.11111111
4	train/batch_box_iou	0.01645900
4	train/batch_cls_loss	0.44351310
4	train/batch_box_loss	0.07872868
5	train/loss_step	2.65615201
5	train/lr	0.00030000
5	train/batch_acc	0.20000000
5	train/batch_box_iou	0.01166651
5	train/batch_cls_loss	0.37238166
5	train/batch_box_loss	0.06142067
6	train/loss_step	2.70543957
6	train/lr	0.00030000
6	train/batch_acc	0.09090909
6	train/batch_box_iou	0.03116833
6	train/batch_cls_loss	0.46955922
6	train/batch_box_loss	0.05964341
7	train/loss_step	3.06176567
7	train/lr	0.00030000
7	train/batch_acc	0.00000000
7	train/batch_box_iou	0.00439318
7	train/batch_cls_loss	0.67677873
7	train/batch_box_loss	0.07875469
8	train/loss_step	2.63140130
8	train/lr	0.00030000
8	train/batch_acc	0.00000000
8	train/batch_box_iou	0.01075570
8	train/batch_cls_loss	0.39462125
8	train/batch_box_loss	0.05165830
9	train/loss_step	2.61775732
9	train/lr	0.00030000
9	train/batch_acc	0.00000000
9	train/batch_box_iou	0.00767265
9	train/batch_cls_loss	0.39025703
9	train/batch_box_loss	0.04856913
10	train/loss_step	2.58677435
10	train/lr	0.00030000
10	train/batch_acc	0.00000000
10	train/batch_box_iou	0.00746280
10	train/batch_cls_loss	0.38583320
10	train/batch_box_loss	0.04317338
11	train/loss_step	2.59145212
11	train/lr	0.00030000
11	train/batch_acc	0.00000000
11	train/batch_box_iou	0.02599445
11	train/batch_cls_loss	0.40464714
11	train/batch_box_loss	0.04775880
12	train/loss_step	2.67546892
12	train/lr	0.00030000
12	train/batch_acc	0.00000000
12	train/batch_box_iou	0.01260362
12	train/batch_cls_loss	0.43527141
12	train/batch_box_loss	0.05308098
13	train/loss_step	2.60033989
13	train/lr	0.00030000
13	train/batch_acc	0.00000000
13	train/batch_box_iou	0.01900576
13	train/batch_cls_loss	0.36628276
13	train/batch_box_loss	0.05441375
14	train/loss_step	2.59820557
14	train/lr	0.00030000
14	train/batch_acc	0.00000000
14	train/batch_box_iou	0.01041531
14	train/batch_cls_loss	0.42680329
14	train/batch_box_loss	0.03844659
15	train/loss_step	2.91322112
15	train/lr	0.00030000
15	train/batch_acc	0.00000000
15	train/batch_box_iou	0.02409497
15	train/batch_cls_loss	0.64032912
15	train/batch_box_loss	0.06421637
16	train/loss_step	2.44699121
16	train/lr	0.00030000
16	train/batch_acc	0.00000000
16	train/batch_box_iou	0.06575250
16	train/batch_cls_loss	0.39937362
16	train/batch_box_loss	0.03582453
17	train/loss_step	2.84517193
17	train/lr	0.00030000
17	train/batch_acc	0.00000000
17	train/batch_box_iou	0.00557424
17	train/batch_cls_loss	0.61193627
17	train/batch_box_loss	0.04887684
18	train/loss_step	2.79600906
18	train/lr	0.00030000
18	train/batch_acc	0.00000000
18	train/batch_box_iou	0.01124947
18	train/batch_cls_loss	0.56221581
18	train/batch_box_loss	0.05125846
19	train/loss_step	2.47329187
19	train/lr	0.00030000
19	train/batch_acc	0.00000000
19	train/batch_box_iou	0.01618297
19	train/batch_cls_loss	0.36451420
19	train/batch_box_loss	0.02822870
20	train/loss_step	2.60764551
20	train/lr	0.00030000
20	train/batch_acc	0.00000000
20	train/batch_box_iou	0.00769419
20	train/batch_cls_loss	0.43891299
20	train/batch_box_loss	0.03682416
21	train/loss_step	2.50133991
21	train/lr	0.00030000
21	train/batch_acc	0.00000000
21	train/batch_box_iou	0.02395790
21	train/batch_cls_loss	0.39373881
21	train/batch_box_loss	0.03110341
22	train/loss_step	2.56322169
22	train/lr	0.00030000
22	train/batch_acc	0.00000000
22	train/batch_box_iou	0.01469917
22	train/batch_cls_loss	0.40528643
22	train/batch_box_loss	0.03746670
23	train/loss_step	2.77066660
23	train/lr	0.00030000
23	train/batch_acc	0.00000000
23	train/batch_box_iou	0.05333919
23	train/batch_cls_loss	0.62812150
23	train/batch_box_loss	0.04984467
24	train/loss_step	2.49343300
