step	tag	value
1	train/loss_step	2.79171610
1	train/lr	0.00030000
1	train/batch_acc	0.12500000
1	train/batch_box_iou	0.01339239
1	train/batch_cls_loss	0.39316961
1	train/batch_box_loss	0.08506628
2	train/loss_step	3.14378977
2	train/lr	0.00030000
2	train/batch_acc	0.32000000
2	train/batch_box_iou	0.00544404
2	train/batch_cls_loss	0.64862984
2	train/batch_box_loss	0.10120960
3	train/loss_step	2.91709661
3	train/lr	0.00030000
3	train/batch_acc	0.26315789
3	train/batch_box_iou	0.02956230
3	train/batch_cls_loss	0.55569518
3	train/batch_box_loss	0.08410520
4	train/loss_step	3.43089199
4	train/lr	0.00030000
4	train/batch_acc	0.04545455
4	train/batch_box_iou	0.01416243
4	train/batch_cls_loss	0.98936117
4	train/batch_box_loss	0.09397113
5	train/loss_step	2.91760039
5	train/lr	0.00030000
5	train/batch_acc	0.05555556
5	train/batch_box_iou	0.01943917
5	train/batch_cls_loss	0.53443766
5	train/batch_box_loss	0.08440820
6	train/loss_step	3.16481924
6	train/lr	0.00030000
6	train/batch_acc	0.55882353
6	train/batch_box_iou	0.01172797
6	train/batch_cls_loss	0.73463154
6	train/batch_box_loss	0.09072874
7	train/loss_step	2.96243191
7	train/lr	0.00030000
7	train/batch_acc	0.13636364
7	train/batch_box_iou	0.01919904
7	train/batch_cls_loss	0.60297167
7	train/batch_box_loss	0.07957165
8	train/loss_step	3.21775889
8	train/lr	0.00030000
8	train/batch_acc	0.47368421
8	train/batch_box_iou	0.00791347
8	train/batch_cls_loss	0.77734983
8	train/batch_box_loss	0.09124722
9	train/loss_step	2.99570179
9	train/lr	0.00030000
9	train/batch_acc	0.08333333
9	train/batch_box_iou	0.02033546
9	train/batch_cls_loss	0.62317711
9	train/batch_box_loss	0.08263908
10	train/loss_step	3.02139783
10	train/lr	0.00030000
10	train/batch_acc	0.10714286
10	train/batch_box_iou	0.01882448
10	train/batch_cls_loss	0.67327046
10	train/batch_box_loss	0.07715526
11	train/loss_step	2.74690580
11	train/lr	0.00030000
11	train/batch_acc	0.35714286
11	train/batch_box_iou	0.03265517
11	train/batch_cls_loss	0.44145492
11	train/batch_box_loss	0.07415225
12	train/loss_step	2.84915495
12	train/lr	0.00030000
12	train/batch_acc	0.05882353
12	train/batch_box_iou	0.02585634
12	train/batch_cls_loss	0.50528878
12	train/batch_box_loss	0.07911576
13	train/loss_step	2.86692500
13	train/lr	0.00030000
13	train/batch_acc	0.30000000
13	train/batch_box_iou	0.01338274
13	train/batch_cls_loss	0.51453769
13	train/batch_box_loss	0.07583054
14	train/loss_step	3.10264921
14	train/lr	0.00030000
14	train/batch_acc	0.31428571
14	train/batch_box_iou	0.01160645
14	train/batch_cls_loss	0.71807921
14	train/batch_box_loss	0.08155661
15	train/loss_step	2.93616700
15	train/lr	0.00030000
15	train/batch_acc	0.47619048
15	train/batch_box_iou	0.00508933
15	train/batch_cls_loss	0.52507675
15	train/batch_box_loss	0.08425380
16	train/loss_step	3.07918024
16	train/lr	0.00030000
16	train/batch_acc	0.42857143
16	train/batch_box_iou	0.02084248
16	train/batch_cls_loss	0.73134780
16	train/batch_box_loss	0.07790347
17	train/loss_step	3.03085852
17	train/lr	0.00030000
17	train/batch_acc	0.50000000
17	train/batch_box_iou	0.01194199
17	train/batch_cls_loss	0.65499556
17	train/batch_box_loss	0.07994939
18	train/loss_step	2.94834852
18	train/lr	0.00030000
18	train/batch_acc	0.42857143
18	train/batch_box_iou	0.01504271
18	train/batch_cls_loss	0.61457586
18	train/batch_box_loss	0.07277164
19	train/loss_step	2.94284153
19	train/lr	0.00030000
19	train/batch_acc	0.37037037
19	train/batch_box_iou	0.02599817
19	train/batch_cls_loss	0.59481698
19	train/batch_box_loss	0.08000421
20	train/loss_step	3.01646948
20	train/lr	0.00030000
20	train/batch_acc	0.45945946
20	train/batch_box_iou	0.01116066
20	train/batch_cls_loss	0.67189527
20	train/batch_box_loss	0.07337912
21	train/loss_step	2.89174747
21	train/lr	0.00030000
21	train/batch_acc	0.28571429
