step	tag	value
1	train/loss_step	2.79171610
1	train/lr	0.00030000
1	train/batch_acc	0.12500000
1	train/batch_box_iou	0.01339239
1	train/batch_cls_loss	0.39316961
1	train/batch_box_loss	0.08506628
2	train/loss_step	3.14378977
2	train/lr	0.00030000
2	train/batch_acc	0.32000000
2	train/batch_box_iou	0.00544404
2	train/batch_cls_loss	0.64862978
2	train/batch_box_loss	0.10120960
3	train/loss_step	2.91709661
3	train/lr	0.00030000
3	train/batch_acc	0.26315789
3	train/batch_box_iou	0.02956230
3	train/batch_cls_loss	0.55569518
3	train/batch_box_loss	0.08410518
4	train/loss_step	3.43089199
4	train/lr	0.00030000
4	train/batch_acc	0.04545455
4	train/batch_box_iou	0.01416243
4	train/batch_cls_loss	0.98936111
4	train/batch_box_loss	0.09397116
5	train/loss_step	2.91760039
5	train/lr	0.00030000
5	train/batch_acc	0.05555556
5	train/batch_box_iou	0.01943917
5	train/batch_cls_loss	0.53443766
5	train/batch_box_loss	0.08440822
6	train/loss_step	3.16481924
6	train/lr	0.00030000
6	train/batch_acc	0.55882353
6	train/batch_box_iou	0.01172797
6	train/batch_cls_loss	0.73463142
6	train/batch_box_loss	0.09072875
7	train/loss_step	2.96243191
7	train/lr	0.00030000
7	train/batch_acc	0.13636364
7	train/batch_box_iou	0.01919897
7	train/batch_cls_loss	0.60297155
7	train/batch_box_loss	0.07957167
8	train/loss_step	3.21775961
8	train/lr	0.00030000
8	train/batch_acc	0.47368421
8	train/batch_box_iou	0.00791346
8	train/batch_cls_loss	0.77735043
8	train/batch_box_loss	0.09124725
9	train/loss_step	2.99570131
9	train/lr	0.00030000
9	train/batch_acc	0.08333333
9	train/batch_box_iou	0.02033547
9	train/batch_cls_loss	0.62317669
9	train/batch_box_loss	0.08263910
10	train/loss_step	3.02139807
10	train/lr	0.00030000
10	train/batch_acc	0.10714286
10	train/batch_box_iou	0.01882453
10	train/batch_cls_loss	0.67327034
10	train/batch_box_loss	0.07715534
11	train/loss_step	2.74690580
11	train/lr	0.00030000
11	train/batch_acc	0.35714286
11	train/batch_box_iou	0.03265514
11	train/batch_cls_loss	0.44145480
11	train/batch_box_loss	0.07415222
12	train/loss_step	2.84915853
12	train/lr	0.00030000
12	train/batch_acc	0.05882353
12	train/batch_box_iou	0.02585458
12	train/batch_cls_loss	0.50528860
12	train/batch_box_loss	0.07911582
13	train/loss_step	2.86692381
13	train/lr	0.00030000
13	train/batch_acc	0.30000000
13	train/batch_box_iou	0.01338269
13	train/batch_cls_loss	0.51453686
13	train/batch_box_loss	0.07583048
14	train/loss_step	3.10264921
14	train/lr	0.00030000
14	train/batch_acc	0.31428571
14	train/batch_box_iou	0.01160644
14	train/batch_cls_loss	0.71807915
14	train/batch_box_loss	0.08155660
15	train/loss_step	2.93616676
15	train/lr	0.00030000
15	train/batch_acc	0.47619048
15	train/batch_box_iou	0.00508930
15	train/batch_cls_loss	0.52507633
15	train/batch_box_loss	0.08425379
16	train/loss_step	3.07918024
16	train/lr	0.00030000
16	train/batch_acc	0.42857143
16	train/batch_box_iou	0.02084245
16	train/batch_cls_loss	0.73134738
16	train/batch_box_loss	0.07790358
17	train/loss_step	3.03085899
17	train/lr	0.00030000
17	train/batch_acc	0.50000000
17	train/batch_box_iou	0.01194202
17	train/batch_cls_loss	0.65499610
17	train/batch_box_loss	0.07994940
18	train/loss_step	2.94834876
18	train/lr	0.00030000
18	train/batch_acc	0.42857143
18	train/batch_box_iou	0.01504271
18	train/batch_cls_loss	0.61457598
18	train/batch_box_loss	0.07277165
19	train/loss_step	2.94284201
19	train/lr	0.00030000
19	train/batch_acc	0.37037037
19	train/batch_box_iou	0.02599802
19	train/batch_cls_loss	0.59481704
19	train/batch_box_loss	0.08000422
20	train/loss_step	3.01647091
20	train/lr	0.00030000
20	train/batch_acc	0.45945946
20	train/batch_box_iou	0.01116062
20	train/batch_cls_loss	0.67189622
20	train/batch_box_loss	0.07337920
21	train/loss_step	2.89174795
21	train/lr	0.00030000
21	train/batch_acc	0.28571429
