step	tag	value
1	train/loss_step	3.13168240
1	train/lr	0.00030000
1	train/batch_acc	0.12195122
1	train/batch_box_iou	0.02805464
1	train/batch_cls_loss	0.78398991
1	train/batch_box_loss	0.08076032
2	train/loss_step	2.91317892
2	train/lr	0.00030000
2	train/batch_acc	0.57142857
2	train/batch_box_iou	0.03478107
2	train/batch_cls_loss	0.61167622
2	train/batch_box_loss	0.07421296
3	train/loss_step	3.12371540
3	train/lr	0.00030000
3	train/batch_acc	0.40740741
3	train/batch_box_iou	0.03437477
3	train/batch_cls_loss	0.81139696
3	train/batch_box_loss	0.07621359
4	train/loss_step	2.89661741
4	train/lr	0.00030000
4	train/batch_acc	0.62962963
4	train/batch_box_iou	0.02005019
4	train/batch_cls_loss	0.51812094
4	train/batch_box_loss	0.08371935
5	train/loss_step	2.78414345
5	train/lr	0.00030000
5	train/batch_acc	0.16666667
5	train/batch_box_iou	0.00415684
5	train/batch_cls_loss	0.34350437
5	train/batch_box_loss	0.08979055
6	train/loss_step	2.99945354
6	train/lr	0.00030000
6	train/batch_acc	0.62500000
6	train/batch_box_iou	0.00908770
6	train/batch_cls_loss	0.58543932
6	train/batch_box_loss	0.08643793
7	train/loss_step	3.15395308
7	train/lr	0.00030000
7	train/batch_acc	0.25000000
7	train/batch_box_iou	0.00769549
7	train/batch_cls_loss	0.70637232
7	train/batch_box_loss	0.09259435
8	train/loss_step	2.76654863
8	train/lr	0.00030000
8	train/batch_acc	0.28571429
8	train/batch_box_iou	0.01472256
8	train/batch_cls_loss	0.39866975
8	train/batch_box_loss	0.07946479
9	train/loss_step	2.98161888
9	train/lr	0.00030000
9	train/batch_acc	0.06451613
9	train/batch_box_iou	0.01653551
9	train/batch_cls_loss	0.62171888
9	train/batch_box_loss	0.07859424
10	train/loss_step	3.26007581
10	train/lr	0.00030000
10	train/batch_acc	0.08695652
10	train/batch_box_iou	0.01251265
10	train/batch_cls_loss	0.87550402
10	train/batch_box_loss	0.08191941
11	train/loss_step	2.83282471
11	train/lr	0.00030000
11	train/batch_acc	0.10000000
11	train/batch_box_iou	0.02419558
11	train/batch_cls_loss	0.51661468
11	train/batch_box_loss	0.07292026
12	train/loss_step	2.98163843
12	train/lr	0.00030000
12	train/batch_acc	0.71052632
12	train/batch_box_iou	0.01440998
12	train/batch_cls_loss	0.61767346
12	train/batch_box_loss	0.07855698
13	train/loss_step	2.67293835
13	train/lr	0.00030000
13	train/batch_acc	0.57142857
13	train/batch_box_iou	0.05371106
13	train/batch_cls_loss	0.47346401
13	train/batch_box_loss	0.06137930
14	train/loss_step	2.99030519
14	train/lr	0.00030000
14	train/batch_acc	0.15151515
14	train/batch_box_iou	0.01746462
14	train/batch_cls_loss	0.65127277
14	train/batch_box_loss	0.07479235
15	train/loss_step	3.26871109
15	train/lr	0.00030000
15	train/batch_acc	0.16279070
15	train/batch_box_iou	0.01681311
15	train/batch_cls_loss	0.93955886
15	train/batch_box_loss	0.07255565
16	train/loss_step	2.86989808
16	train/lr	0.00030000
16	train/batch_acc	0.28571429
16	train/batch_box_iou	0.01220658
16	train/batch_cls_loss	0.48539102
16	train/batch_box_loss	0.08178405
17	train/loss_step	2.76551986
17	train/lr	0.00030000
17	train/batch_acc	0.25806452
17	train/batch_box_iou	0.05180704
17	train/batch_cls_loss	0.55527610
17	train/batch_box_loss	0.06277156
18	train/loss_step	2.96914530
18	train/lr	0.00030000
18	train/batch_acc	0.00000000
18	train/batch_box_iou	0.00933476
18	train/batch_cls_loss	0.57008016
18	train/batch_box_loss	0.08354695
19	train/loss_step	2.75560760
19	train/lr	0.00030000
19	train/batch_acc	0.18750000
19	train/batch_box_iou	0.01661928
19	train/batch_cls_loss	0.44823357
19	train/batch_box_loss	0.06812252
20	train/loss_step	3.13527608
20	train/lr	0.00030000
20	train/batch_acc	0.17500000
20	train/batch_box_iou	0.01169810
20	train/batch_cls_loss	0.80833793
20	train/batch_box_loss	0.07006685
21	train/loss_step	2.78595209
21	train/lr	0.00030000
21	train/batch_acc	0.54166667
21	train/batch_box_iou	0.01437664
21	train/batch_cls_loss	0.46302894
21	train/batch_box_loss	0.07033529
22	train/loss_step	2.96510363
22	train/lr	0.00030000
22	train/batch_acc	0.50000000
22	train/batch_box_iou	0.01565100
22	train/batch_cls_loss	0.64558578
22	train/batch_box_loss	0.07016396
23	train/loss_step	2.70103121
23	train/lr	0.00030000
23	train/batch_acc	0.63157895
23	train/batch_box_iou	0.01496707
23	train/batch_cls_loss	0.40003043
