step	tag	value
10	train/loss_step	2.24655867
10	train/lr	0.00030000
10	train/batch_acc	0.56184486
10	train/batch_box_iou	0.09565943
10	train/batch_cls_loss	0.36506584
10	train/batch_box_loss	0.01456236
20	train/loss_step	2.19397569
20	train/lr	0.00030000
20	train/batch_acc	0.50881612
20	train/batch_box_iou	0.11334897
20	train/batch_cls_loss	0.34213629
20	train/batch_box_loss	0.01570745
30	train/loss_step	2.23962951
30	train/lr	0.00030000
30	train/batch_acc	0.57883369
30	train/batch_box_iou	0.09362844
30	train/batch_cls_loss	0.35668293
30	train/batch_box_loss	0.01404069
40	train/loss_step	2.20781898
40	train/lr	0.00030000
40	train/batch_acc	0.48008386
40	train/batch_box_iou	0.12978384
40	train/batch_cls_loss	0.40168518
40	train/batch_box_loss	0.01314031
1	train/loss_epoch	2.25512339
1	train/epoch_acc	0.51119107
1	train/epoch_box_iou	0.10190481
1	val/loss	2.32058145
1	val/acc	0.50968992
1	val/box_iou	0.09316383
1	val/mAP	0.00213097
1	val/mAP50_95	0.00033779
1	val/precision	0.01056516
1	val/recall	0.01719515
1	train/early_stop_loss	2.32058145
50	train/loss_step	2.25292063
50	train/lr	0.00030000
50	train/batch_acc	0.47346939
50	train/batch_box_iou	0.10256844
50	train/batch_cls_loss	0.38176695
50	train/batch_box_loss	0.01525810
60	train/loss_step	2.27719307
60	train/lr	0.00030000
60	train/batch_acc	0.48532731
60	train/batch_box_iou	0.11269514
60	train/batch_cls_loss	0.42961282
60	train/batch_box_loss	0.01459413
70	train/loss_step	2.20204902
70	train/lr	0.00030000
70	train/batch_acc	0.52192982
70	train/batch_box_iou	0.11371157
70	train/batch_cls_loss	0.36096567
70	train/batch_box_loss	0.01370129
80	train/loss_step	2.27814245
80	train/lr	0.00030000
80	train/batch_acc	0.53166987
80	train/batch_box_iou	0.09999641
80	train/batch_cls_loss	0.40035707
80	train/batch_box_loss	0.01555566
90	train/loss_step	2.22332931
90	train/lr	0.00030000
90	train/batch_acc	0.53613054
90	train/batch_box_iou	0.09829581
90	train/batch_cls_loss	0.34224647
90	train/batch_box_loss	0.01553488
2	train/loss_epoch	2.25094993
2	train/epoch_acc	0.50478950
2	train/epoch_box_iou	0.10348893
2	val/loss	2.30262187
2	val/acc	0.52110250
2	val/box_iou	0.09686872
2	val/mAP	0.00366512
2	val/mAP50_95	0.00074972
2	val/precision	0.01278712
2	val/recall	0.02148544
2	train/early_stop_loss	2.30262187
100	train/loss_step	2.21521568
100	train/lr	0.00030000
100	train/batch_acc	0.55102041
100	train/batch_box_iou	0.10620584
100	train/batch_cls_loss	0.35813266
100	train/batch_box_loss	0.01389894
110	train/loss_step	2.22097731
110	train/lr	0.00030000
110	train/batch_acc	0.57207207
110	train/batch_box_iou	0.09924380
110	train/batch_cls_loss	0.34877253
110	train/batch_box_loss	0.01413848
120	train/loss_step	2.17605877
120	train/lr	0.00030000
120	train/batch_acc	0.48820755
120	train/batch_box_iou	0.13055862
120	train/batch_cls_loss	0.37744161
120	train/batch_box_loss	0.01194686
130	train/loss_step	2.24937487
130	train/lr	0.00030000
130	train/batch_acc	0.53303965
130	train/batch_box_iou	0.10106447
130	train/batch_cls_loss	0.37822410
130	train/batch_box_loss	0.01465591
140	train/loss_step	2.26895142
140	train/lr	0.00030000
140	train/batch_acc	0.52109705
140	train/batch_box_iou	0.08981186
140	train/batch_cls_loss	0.37013805
140	train/batch_box_loss	0.01568742
3	train/loss_epoch	2.24947815
3	train/epoch_acc	0.50647166
3	train/epoch_box_iou	0.10294811
