step	tag	value
10	train/loss_step	2.90206313
10	train/lr	0.00030000
10	train/batch_acc	0.47798742
10	train/batch_box_iou	0.02007148
10	train/batch_cls_loss	0.54425400
10	train/batch_box_loss	0.07959042
20	train/loss_step	2.75261378
20	train/lr	0.00030000
20	train/batch_acc	0.42569270
20	train/batch_box_iou	0.02717202
20	train/batch_cls_loss	0.47088215
20	train/batch_box_loss	0.06721513
30	train/loss_step	2.73477554
30	train/lr	0.00030000
30	train/batch_acc	0.44708423
30	train/batch_box_iou	0.02450069
30	train/batch_cls_loss	0.48799241
30	train/batch_box_loss	0.05915692
40	train/loss_step	2.62560987
40	train/lr	0.00030000
40	train/batch_acc	0.44025157
40	train/batch_box_iou	0.04629950
40	train/batch_cls_loss	0.50394619
40	train/batch_box_loss	0.04285254
1	train/loss_epoch	2.77611452
1	train/epoch_acc	0.42184945
1	train/epoch_box_iou	0.02828738
1	val/loss	2.69297863
1	val/acc	0.36724806
1	val/box_iou	0.03719868
1	val/mAP	0.00077422
1	val/mAP50_95	0.00014999
1	val/precision	0.00801268
1	val/recall	0.00496371
1	train/early_stop_loss	2.69297863
50	train/loss_step	2.58463025
50	train/lr	0.00030000
50	train/batch_acc	0.44897959
50	train/batch_box_iou	0.04284836
50	train/batch_cls_loss	0.48721421
50	train/batch_box_loss	0.03662254
60	train/loss_step	2.54407644
60	train/lr	0.00030000
60	train/batch_acc	0.40632054
60	train/batch_box_iou	0.04745728
60	train/batch_cls_loss	0.49111980
60	train/batch_box_loss	0.02957425
70	train/loss_step	2.47574139
70	train/lr	0.00030000
70	train/batch_acc	0.43421053
70	train/batch_box_iou	0.05538005
70	train/batch_cls_loss	0.46067369
70	train/batch_box_loss	0.02516557
80	train/loss_step	2.51679683
80	train/lr	0.00030000
80	train/batch_acc	0.48560461
80	train/batch_box_iou	0.04683244
80	train/batch_cls_loss	0.48762390
80	train/batch_box_loss	0.02456756
90	train/loss_step	2.41822147
90	train/lr	0.00030000
90	train/batch_acc	0.53613054
90	train/batch_box_iou	0.04977150
90	train/batch_cls_loss	0.40135568
90	train/batch_box_loss	0.02328175
2	train/loss_epoch	2.50008760
2	train/epoch_acc	0.46273539
2	train/epoch_box_iou	0.04867977
2	val/loss	2.50561740
2	val/acc	0.48568045
2	val/box_iou	0.05322008
2	val/mAP	0.00058640
2	val/mAP50_95	0.00009169
2	val/precision	0.01423490
2	val/recall	0.00804643
2	train/early_stop_loss	2.50561740
100	train/loss_step	2.41804552
100	train/lr	0.00030000
100	train/batch_acc	0.47619048
100	train/batch_box_iou	0.05630718
100	train/batch_cls_loss	0.42013198
100	train/batch_box_loss	0.02210558
110	train/loss_step	2.41064453
110	train/lr	0.00030000
110	train/batch_acc	0.50675676
110	train/batch_box_iou	0.05792897
110	train/batch_cls_loss	0.41330844
110	train/batch_box_loss	0.02263879
120	train/loss_step	2.37157631
120	train/lr	0.00030000
120	train/batch_acc	0.48349057
120	train/batch_box_iou	0.07483239
120	train/batch_cls_loss	0.42711979
120	train/batch_box_loss	0.01882428
130	train/loss_step	2.41924548
130	train/lr	0.00030000
130	train/batch_acc	0.51321586
130	train/batch_box_iou	0.06328386
130	train/batch_cls_loss	0.44291353
130	train/batch_box_loss	0.02057994
140	train/loss_step	2.44533396
140	train/lr	0.00030000
140	train/batch_acc	0.50000000
140	train/batch_box_iou	0.04521367
140	train/batch_cls_loss	0.42208481
140	train/batch_box_loss	0.02273533
3	train/loss_epoch	2.43599498
3	train/epoch_acc	0.46161394
3	train/epoch_box_iou	0.05792100
3	val/loss	2.49125739
3	val/acc	0.41149871
3	val/box_iou	0.05968198
3	val/mAP	0.00071369
3	val/mAP50_95	0.00011233
3	val/precision	0.01292518
3	val/recall	0.00932109
3	train/early_stop_loss	2.49125739
150	train/loss_step	2.42047548
150	train/lr	0.00030000
150	train/batch_acc	0.44868735
150	train/batch_box_iou	0.05339032
150	train/batch_cls_loss	0.42263919
150	train/batch_box_loss	0.02092341
160	train/loss_step	2.41944218
160	train/lr	0.00030000
160	train/batch_acc	0.37762238
160	train/batch_box_iou	0.06323311
160	train/batch_cls_loss	0.43752861
160	train/batch_box_loss	0.02167596
170	train/loss_step	2.41028643
170	train/lr	0.00030000
170	train/batch_acc	0.41733871
170	train/batch_box_iou	0.07381770
170	train/batch_cls_loss	0.45822209
170	train/batch_box_loss	0.01993997
180	train/loss_step	2.44279528
180	train/lr	0.00030000
180	train/batch_acc	0.42917548
180	train/batch_box_iou	0.06583620
180	train/batch_cls_loss	0.47321206
180	train/batch_box_loss	0.02025113
190	train/loss_step	2.44157076
190	train/lr	0.00030000
190	train/batch_acc	0.34743875
190	train/batch_box_iou	0.06555113
190	train/batch_cls_loss	0.47076550
190	train/batch_box_loss	0.02038153
4	train/loss_epoch	2.41618972
4	train/epoch_acc	0.46264193
4	train/epoch_box_iou	0.06159479
