step	tag	value
1	train/loss_step	3.03883553
1	train/lr	0.00030000
1	train/batch_acc	0.23197903
1	train/batch_box_iou	0.01791580
1	train/batch_cls_loss	0.60424459
1	train/batch_box_loss	0.09408449
2	train/loss_step	2.95724702
2	train/lr	0.00030000
2	train/batch_acc	0.31164902
2	train/batch_box_iou	0.02265550
2	train/batch_cls_loss	0.55968571
2	train/batch_box_loss	0.08857446
1	train/loss_epoch	3.00096333
1	train/epoch_acc	0.26896067
1	train/epoch_box_iou	0.02011590
1	val/loss	2.84466529
1	val/acc	0.19259259
1	val/box_iou	0.01840880
1	val/mAP	0.00000000
1	val/mAP50_95	0.00000000
1	val/precision	0.00000000
1	val/recall	0.00000000
1	train/early_stop_loss	2.84466529
