step	tag	value
1	train/loss_step	3.03894520
1	train/lr	0.00030000
1	train/batch_acc	0.23722149
1	train/batch_box_iou	0.01793085
1	train/batch_cls_loss	0.60455132
1	train/batch_box_loss	0.09405110
2	train/loss_step	2.95620203
2	train/lr	0.00030000
2	train/batch_acc	0.31618759
2	train/batch_box_iou	0.02271358
2	train/batch_cls_loss	0.55869544
2	train/batch_box_loss	0.08858673
1	train/loss_epoch	3.00053703
1	train/epoch_acc	0.27387640
1	train/epoch_box_iou	0.02015092
1	val/loss	2.84331584
1	val/acc	0.20246914
1	val/box_iou	0.01843350
1	val/mAP	0.00000000
1	val/mAP50_95	0.00000000
1	val/precision	0.00000000
1	val/recall	0.00000000
1	train/early_stop_loss	2.84331584
