step	tag	value
10	train/loss_step	2.88452673
10	train/lr	0.00030000
10	train/batch_acc	0.45106383
10	train/batch_box_iou	0.01838683
10	train/batch_cls_loss	0.51366299
10	train/batch_box_loss	0.08152749
20	train/loss_step	2.80781126
20	train/lr	0.00030000
20	train/batch_acc	0.38939394
20	train/batch_box_iou	0.01886916
20	train/batch_cls_loss	0.49842629
20	train/batch_box_loss	0.06942467
30	train/loss_step	2.68174195
30	train/lr	0.00030000
30	train/batch_acc	0.42277691
30	train/batch_box_iou	0.03150731
30	train/batch_cls_loss	0.46928668
30	train/batch_box_loss	0.05509397
1	train/loss_epoch	2.83854759
1	train/epoch_acc	0.40498108
1	train/epoch_box_iou	0.02506597
40	train/loss_step	2.60129619
40	train/lr	0.00030000
40	train/batch_acc	0.48603352
40	train/batch_box_iou	0.04230283
40	train/batch_cls_loss	0.46862784
40	train/batch_box_loss	0.04345480
50	train/loss_step	2.56174397
50	train/lr	0.00030000
50	train/batch_acc	0.45392022
50	train/batch_box_iou	0.04071224
50	train/batch_cls_loss	0.46823996
50	train/batch_box_loss	0.03498570
60	train/loss_step	2.47952890
60	train/lr	0.00030000
60	train/batch_acc	0.44658754
60	train/batch_box_iou	0.04870269
60	train/batch_cls_loss	0.43413359
60	train/batch_box_loss	0.02856017
2	train/loss_epoch	2.57749544
2	train/epoch_acc	0.47072567
2	train/epoch_box_iou	0.04212116
70	train/loss_step	2.46868777
70	train/lr	0.00030000
70	train/batch_acc	0.44913928
70	train/batch_box_iou	0.05357682
70	train/batch_cls_loss	0.44866499
70	train/batch_box_loss	0.02543528
80	train/loss_step	2.52968383
80	train/lr	0.00030000
80	train/batch_acc	0.41127923
80	train/batch_box_iou	0.04077887
80	train/batch_cls_loss	0.48311812
80	train/batch_box_loss	0.02562469
90	train/loss_step	2.45182848
90	train/lr	0.00030000
90	train/batch_acc	0.52114804
90	train/batch_box_iou	0.05518848
90	train/batch_cls_loss	0.44001287
90	train/batch_box_loss	0.02443851
3	train/loss_epoch	2.46968084
3	train/epoch_acc	0.46768843
3	train/epoch_box_iou	0.05381900
100	train/loss_step	2.39831734
100	train/lr	0.00030000
100	train/batch_acc	0.51769912
100	train/batch_box_iou	0.06712487
100	train/batch_cls_loss	0.42267153
100	train/batch_box_loss	0.02197911
110	train/loss_step	2.46883059
110	train/lr	0.00030000
110	train/batch_acc	0.45525292
110	train/batch_box_iou	0.05107757
110	train/batch_cls_loss	0.46141329
110	train/batch_box_loss	0.02191450
120	train/loss_step	2.50578833
120	train/lr	0.00030000
120	train/batch_acc	0.35667107
120	train/batch_box_iou	0.05426503
120	train/batch_cls_loss	0.50837743
120	train/batch_box_loss	0.02118820
4	train/loss_epoch	2.43086261
4	train/epoch_acc	0.47689360
4	train/epoch_box_iou	0.05993402
130	train/loss_step	2.45474172
130	train/lr	0.00030000
130	train/batch_acc	0.42857143
130	train/batch_box_iou	0.05094332
130	train/batch_cls_loss	0.45411116
130	train/batch_box_loss	0.02050342
140	train/loss_step	2.44445014
140	train/lr	0.00030000
140	train/batch_acc	0.49677419
140	train/batch_box_iou	0.05186782
140	train/batch_cls_loss	0.44195318
140	train/batch_box_loss	0.02124654
150	train/loss_step	2.38207579
150	train/lr	0.00030000
150	train/batch_acc	0.49436620
150	train/batch_box_iou	0.06777043
150	train/batch_cls_loss	0.41237369
150	train/batch_box_loss	0.02104856
5	train/loss_epoch	2.40880012
5	train/epoch_acc	0.47932340
5	train/epoch_box_iou	0.06356793
5	val/loss	2.45537692
5	val/acc	0.47297588
5	val/box_iou	0.06224562
5	val/mAP	0.00087023
5	val/mAP50_95	0.00014214
5	val/precision	0.01120918
5	val/recall	0.00942999
5	train/early_stop_loss	2.45537692
160	train/loss_step	2.38295317
160	train/lr	0.00030000
160	train/batch_acc	0.44810544
160	train/batch_box_iou	0.06628403
160	train/batch_cls_loss	0.40868652
160	train/batch_box_loss	0.02136694
170	train/loss_step	2.41251683
170	train/lr	0.00030000
170	train/batch_acc	0.51538462
170	train/batch_box_iou	0.06468324
170	train/batch_cls_loss	0.44582641
170	train/batch_box_loss	0.01921138
180	train/loss_step	2.33212996
180	train/lr	0.00030000
180	train/batch_acc	0.55312955
180	train/batch_box_iou	0.07771613
180	train/batch_cls_loss	0.39663363
180	train/batch_box_loss	0.01818570
6	train/loss_epoch	2.39850192
6	train/epoch_acc	0.47441708
6	train/epoch_box_iou	0.06470006
190	train/loss_step	2.36296105
190	train/lr	0.00030000
190	train/batch_acc	0.50968703
190	train/batch_box_iou	0.06358079
190	train/batch_cls_loss	0.39161655
190	train/batch_box_loss	0.01970123
200	train/loss_step	2.43201923
200	train/lr	0.00030000
200	train/batch_acc	0.47162673
200	train/batch_box_iou	0.06020573
200	train/batch_cls_loss	0.44778445
200	train/batch_box_loss	0.02092924
210	train/loss_step	2.36481476
210	train/lr	0.00030000
210	train/batch_acc	0.50416667
210	train/batch_box_iou	0.07213482
210	train/batch_cls_loss	0.41114914
210	train/batch_box_loss	0.01958701
7	train/loss_epoch	2.38551216
7	train/epoch_acc	0.47745432
7	train/epoch_box_iou	0.06754704
220	train/loss_step	2.36667204
220	train/lr	0.00030000
220	train/batch_acc	0.44848485
220	train/batch_box_iou	0.06588209
220	train/batch_cls_loss	0.40298381
220	train/batch_box_loss	0.01909051
230	train/loss_step	2.30919313
230	train/lr	0.00030000
230	train/batch_acc	0.47318612
230	train/batch_box_iou	0.08953519
230	train/batch_cls_loss	0.40005431
230	train/batch_box_loss	0.01764186
240	train/loss_step	2.38186789
240	train/lr	0.00030000
240	train/batch_acc	0.51125828
240	train/batch_box_iou	0.06751571
240	train/batch_cls_loss	0.42045841
240	train/batch_box_loss	0.01928817
8	train/loss_epoch	2.37363821
8	train/epoch_acc	0.47259474
8	train/epoch_box_iou	0.06998539
250	train/loss_step	2.41990399
250	train/lr	0.00030000
250	train/batch_acc	0.45576408
250	train/batch_box_iou	0.05945473
250	train/batch_cls_loss	0.43370917
250	train/batch_box_loss	0.02102087
260	train/loss_step	2.37725735
260	train/lr	0.00030000
260	train/batch_acc	0.50427350
260	train/batch_box_iou	0.06111604
260	train/batch_cls_loss	0.40430671
260	train/batch_box_loss	0.01903655
270	train/loss_step	2.36192560
270	train/lr	0.00030000
270	train/batch_acc	0.48536210
270	train/batch_box_iou	0.06604542
270	train/batch_cls_loss	0.40056181
270	train/batch_box_loss	0.01869093
9	train/loss_epoch	2.37738949
9	train/epoch_acc	0.47544507
9	train/epoch_box_iou	0.06917460
280	train/loss_step	2.39326215
280	train/lr	0.00030000
280	train/batch_acc	0.45628415
280	train/batch_box_iou	0.06412916
280	train/batch_cls_loss	0.42589587
280	train/batch_box_loss	0.01912492
290	train/loss_step	2.40025544
290	train/lr	0.00030000
290	train/batch_acc	0.45966709
290	train/batch_box_iou	0.07337162
290	train/batch_cls_loss	0.44893891
290	train/batch_box_loss	0.01961196
300	train/loss_step	2.35855055
300	train/lr	0.00030000
300	train/batch_acc	0.50283286
300	train/batch_box_iou	0.06115100
300	train/batch_cls_loss	0.38509041
300	train/batch_box_loss	0.01915241
310	train/loss_step	2.30900526
310	train/lr	0.00030000
310	train/batch_acc	0.47916667
310	train/batch_box_iou	0.09587139
310	train/batch_cls_loss	0.40817529
310	train/batch_box_loss	0.01851455
10	train/loss_epoch	2.36042847
10	train/epoch_acc	0.48366899
10	train/epoch_box_iou	0.07266801
10	val/loss	2.42045701
10	val/acc	0.47534453
10	val/box_iou	0.07182258
10	val/mAP	0.00096361
10	val/mAP50_95	0.00015488
10	val/precision	0.01105368
10	val/recall	0.01152605
10	train/early_stop_loss	2.42045701
320	train/loss_step	2.33931398
320	train/lr	0.00030000
320	train/batch_acc	0.47538462
320	train/batch_box_iou	0.07684795
320	train/batch_cls_loss	0.40129519
320	train/batch_box_loss	0.01834296
330	train/loss_step	2.35705495
330	train/lr	0.00030000
330	train/batch_acc	0.45949535
330	train/batch_box_iou	0.08580394
330	train/batch_cls_loss	0.43502796
330	train/batch_box_loss	0.01872696
340	train/loss_step	2.36832142
340	train/lr	0.00030000
340	train/batch_acc	0.43625192
340	train/batch_box_iou	0.06393110
340	train/batch_cls_loss	0.40413573
340	train/batch_box_loss	0.01840956
11	train/loss_epoch	2.35041134
11	train/epoch_acc	0.47974394
11	train/epoch_box_iou	0.07505752
350	train/loss_step	2.35753012
350	train/lr	0.00030000
350	train/batch_acc	0.49439776
350	train/batch_box_iou	0.07081380
350	train/batch_cls_loss	0.41026801
350	train/batch_box_loss	0.01777793
360	train/loss_step	2.29547477
360	train/lr	0.00030000
360	train/batch_acc	0.52668539
360	train/batch_box_iou	0.08935363
360	train/batch_cls_loss	0.38687241
360	train/batch_box_loss	0.01746192
370	train/loss_step	2.30403090
370	train/lr	0.00030000
370	train/batch_acc	0.54201681
370	train/batch_box_iou	0.08167491
370	train/batch_cls_loss	0.37735334
370	train/batch_box_loss	0.01800549
12	train/loss_epoch	2.34815491
12	train/epoch_acc	0.48161301
12	train/epoch_box_iou	0.07596153
380	train/loss_step	2.34745669
380	train/lr	0.00030000
380	train/batch_acc	0.48261474
380	train/batch_box_iou	0.07312201
380	train/batch_cls_loss	0.40230480
380	train/batch_box_loss	0.01827919
390	train/loss_step	2.38526940
390	train/lr	0.00030000
390	train/batch_acc	0.46870839
390	train/batch_box_iou	0.07574635
390	train/batch_cls_loss	0.44331923
390	train/batch_box_loss	0.01868858
400	train/loss_step	2.35551524
400	train/lr	0.00030000
400	train/batch_acc	0.42547033
400	train/batch_box_iou	0.07328358
400	train/batch_cls_loss	0.41606125
400	train/batch_box_loss	0.01720421
13	train/loss_epoch	2.33862303
13	train/epoch_acc	0.48965002
13	train/epoch_box_iou	0.07819243
410	train/loss_step	2.31690025
410	train/lr	0.00030000
410	train/batch_acc	0.48164464
410	train/batch_box_iou	0.08331513
410	train/batch_cls_loss	0.39469025
410	train/batch_box_loss	0.01776804
420	train/loss_step	2.32158303
420	train/lr	0.00030000
420	train/batch_acc	0.50793651
420	train/batch_box_iou	0.07490534
420	train/batch_cls_loss	0.37894186
420	train/batch_box_loss	0.01849038
430	train/loss_step	2.32699704
430	train/lr	0.00030000
430	train/batch_acc	0.49168975
430	train/batch_box_iou	0.07906897
430	train/batch_cls_loss	0.40334564
430	train/batch_box_loss	0.01635786
14	train/loss_epoch	2.32981106
14	train/epoch_acc	0.48511752
14	train/epoch_box_iou	0.08090139
440	train/loss_step	2.31285954
440	train/lr	0.00030000
440	train/batch_acc	0.49262537
440	train/batch_box_iou	0.08429889
440	train/batch_cls_loss	0.39652175
440	train/batch_box_loss	0.01698709
450	train/loss_step	2.40273023
450	train/lr	0.00030000
450	train/batch_acc	0.48976982
450	train/batch_box_iou	0.06798466
450	train/batch_cls_loss	0.44598007
450	train/batch_box_loss	0.01854390
460	train/loss_step	2.33264637
460	train/lr	0.00030000
460	train/batch_acc	0.47353362
460	train/batch_box_iou	0.07803642
460	train/batch_cls_loss	0.40557915
460	train/batch_box_loss	0.01662802
15	train/loss_epoch	2.32586914
15	train/epoch_acc	0.48806131
15	train/epoch_box_iou	0.08272270
15	val/loss	2.38800380
15	val/acc	0.51281223
15	val/box_iou	0.07950210
15	val/mAP	0.00154185
15	val/mAP50_95	0.00026831
15	val/precision	0.01068904
15	val/recall	0.01413265
15	train/early_stop_loss	2.38800380
470	train/loss_step	2.30625272
470	train/lr	0.00030000
470	train/batch_acc	0.50668648
470	train/batch_box_iou	0.08461253
470	train/batch_cls_loss	0.39176628
470	train/batch_box_loss	0.01674230
480	train/loss_step	2.29843044
480	train/lr	0.00030000
480	train/batch_acc	0.47460087
480	train/batch_box_iou	0.08894774
480	train/batch_cls_loss	0.39065024
480	train/batch_box_loss	0.01713513
490	train/loss_step	2.31005502
490	train/lr	0.00030000
490	train/batch_acc	0.53665689
490	train/batch_box_iou	0.08373919
490	train/batch_cls_loss	0.39086777
490	train/batch_box_loss	0.01733313
16	train/loss_epoch	2.32183785
16	train/epoch_acc	0.48965002
16	train/epoch_box_iou	0.08335454
500	train/loss_step	2.30821514
500	train/lr	0.00030000
500	train/batch_acc	0.51020408
500	train/batch_box_iou	0.09623390
500	train/batch_cls_loss	0.41618720
500	train/batch_box_loss	0.01689917
510	train/loss_step	2.28582454
510	train/lr	0.00030000
510	train/batch_acc	0.50783290
510	train/batch_box_iou	0.09450503
510	train/batch_cls_loss	0.39186054
510	train/batch_box_loss	0.01659481
520	train/loss_step	2.36767530
520	train/lr	0.00030000
520	train/batch_acc	0.47808219
520	train/batch_box_iou	0.07445779
520	train/batch_cls_loss	0.42493391
520	train/batch_box_loss	0.01833139
17	train/loss_epoch	2.31591751
17	train/epoch_acc	0.49198636
17	train/epoch_box_iou	0.08547285
530	train/loss_step	2.32192206
530	train/lr	0.00030000
530	train/batch_acc	0.46454414
530	train/batch_box_iou	0.07991748
530	train/batch_cls_loss	0.39395145
530	train/batch_box_loss	0.01756111
540	train/loss_step	2.28372669
540	train/lr	0.00030000
540	train/batch_acc	0.55661664
540	train/batch_box_iou	0.09470154
540	train/batch_cls_loss	0.38436610
540	train/batch_box_loss	0.01775276
550	train/loss_step	2.29319930
