step	tag	value
1	train/batch_loss	2.84324908
1	train/batch_acc	0.28571429
1	train/batch_box_iou	0.00508209
1	train/batch_cls_loss	2.02632523
1	train/batch_box_loss	0.16338478
2	train/batch_loss	2.88961339
2	train/batch_acc	0.16666667
2	train/batch_box_iou	0.01059338
2	train/batch_cls_loss	2.08390188
2	train/batch_box_loss	0.16114229
3	train/batch_loss	2.88261175
3	train/batch_acc	0.40000000
3	train/batch_box_iou	0.01014165
3	train/batch_cls_loss	2.02218390
3	train/batch_box_loss	0.17208557
4	train/batch_loss	3.05453062
4	train/batch_acc	0.42857143
4	train/batch_box_iou	0.00460685
4	train/batch_cls_loss	1.92331314
4	train/batch_box_loss	0.22624351
5	train/batch_loss	2.75444698
5	train/batch_acc	0.40000000
5	train/batch_box_iou	0.00424023
5	train/batch_cls_loss	1.98981714
5	train/batch_box_loss	0.15292600
6	train/batch_loss	2.80533838
6	train/batch_acc	0.11111111
6	train/batch_box_iou	0.00167234
6	train/batch_cls_loss	1.98278010
6	train/batch_box_loss	0.16451168
7	train/batch_loss	2.73395896
7	train/batch_acc	0.16666667
7	train/batch_box_iou	0.01804866
7	train/batch_cls_loss	1.97481513
7	train/batch_box_loss	0.15182878
8	train/batch_loss	2.66747260
8	train/batch_acc	0.10000000
8	train/batch_box_iou	0.02024635
8	train/batch_cls_loss	1.98609781
8	train/batch_box_loss	0.13627496
1	train/epoch_loss	2.84968254
1	train/epoch_acc	0.26865672
1	train/epoch_box_iou	0.00913515
9	train/batch_loss	2.83637309
9	train/batch_acc	0.13333333
9	train/batch_box_iou	0.00488746
9	train/batch_cls_loss	1.92043006
9	train/batch_box_loss	0.18318860
10	train/batch_loss	2.94782734
10	train/batch_acc	0.22222222
10	train/batch_box_iou	0.00000000
10	train/batch_cls_loss	1.90654516
10	train/batch_box_loss	0.20825642
11	train/batch_loss	2.55144334
11	train/batch_acc	0.16666667
11	train/batch_box_iou	0.00548570
11	train/batch_cls_loss	1.86091852
11	train/batch_box_loss	0.13810496
12	train/batch_loss	2.64008427
12	train/batch_acc	0.40000000
12	train/batch_box_iou	0.00000000
12	train/batch_cls_loss	1.83984494
12	train/batch_box_loss	0.16004789
13	train/batch_loss	2.79646802
13	train/batch_acc	0.30769231
13	train/batch_box_iou	0.00781514
13	train/batch_cls_loss	1.84297252
13	train/batch_box_loss	0.19069910
14	train/batch_loss	2.47018385
14	train/batch_acc	0.25000000
14	train/batch_box_iou	0.00787297
14	train/batch_cls_loss	1.85359049
14	train/batch_box_loss	0.12331865
15	train/batch_loss	2.55782652
15	train/batch_acc	0.40000000
15	train/batch_box_iou	0.00000000
15	train/batch_cls_loss	1.77744734
15	train/batch_box_loss	0.15607581
16	train/batch_loss	2.54280090
16	train/batch_acc	0.11111111
16	train/batch_box_iou	0.00092622
16	train/batch_cls_loss	1.82209361
16	train/batch_box_loss	0.14414144
2	train/epoch_loss	2.69264534
2	train/epoch_acc	0.22972973
2	train/epoch_box_iou	0.00419776
17	train/batch_loss	2.43873143
17	train/batch_acc	0.57142857
17	train/batch_box_iou	0.00000000
17	train/batch_cls_loss	1.70386934
17	train/batch_box_loss	0.14697240
18	train/batch_loss	2.36370850
18	train/batch_acc	0.37500000
18	train/batch_box_iou	0.00811786
18	train/batch_cls_loss	1.76849890
18	train/batch_box_loss	0.11904190
19	train/batch_loss	2.37241316
19	train/batch_acc	0.14285714
19	train/batch_box_iou	0.03522956
19	train/batch_cls_loss	1.77964473
19	train/batch_box_loss	0.11855368
20	train/batch_loss	2.34927344
20	train/batch_acc	0.25000000
20	train/batch_box_iou	0.00824822
20	train/batch_cls_loss	1.73895383
20	train/batch_box_loss	0.12206393
21	train/batch_loss	2.30368185
21	train/batch_acc	0.12500000
21	train/batch_box_iou	0.03933271
21	train/batch_cls_loss	1.76150727
21	train/batch_box_loss	0.10843490
22	train/batch_loss	2.26926231
22	train/batch_acc	0.28571429
22	train/batch_box_iou	0.00565195
22	train/batch_cls_loss	1.69851804
22	train/batch_box_loss	0.11414887
23	train/batch_loss	2.35143089
23	train/batch_acc	0.14285714
23	train/batch_box_iou	0.01225321
23	train/batch_cls_loss	1.72250414
23	train/batch_box_loss	0.12578532
24	train/batch_loss	2.29929399
24	train/batch_acc	0.00000000
24	train/batch_box_iou	0.01313244
24	train/batch_cls_loss	1.75673127
24	train/batch_box_loss	0.10851252
3	train/epoch_loss	2.34226023
3	train/epoch_acc	0.23076923
3	train/epoch_box_iou	0.01490336
1	eval/loss	2.35399674
1	eval/acc	0.00000000
1	eval/box_iou	0.01956297
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/loss	2.35399674
1	eval/acc	0.00000000
1	eval/box_iou	0.01956297
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/params_m	0.00791500
1	eval/gflops	0.08113920
1	eval/fps	304.07835695
