step	tag	value
1	train/batch_loss	2.06685948
1	train/batch_acc	0.00000000
1	train/batch_box_iou	0.16335416
1	train/batch_cls_loss	1.63894260
1	train/batch_box_loss	0.08558338
2	train/batch_loss	1.92732215
2	train/batch_acc	0.42857143
2	train/batch_box_iou	0.18659000
2	train/batch_cls_loss	1.55385685
2	train/batch_box_loss	0.07469305
1	train/epoch_loss	1.99709082
1	train/epoch_acc	0.21428571
1	train/epoch_box_iou	0.17497208
3	train/batch_loss	1.93361616
3	train/batch_acc	0.14285714
3	train/batch_box_iou	0.18413801
3	train/batch_cls_loss	1.57737792
3	train/batch_box_loss	0.07124764
4	train/batch_loss	1.95160365
4	train/batch_acc	0.33333333
4	train/batch_box_iou	0.20287344
4	train/batch_cls_loss	1.54385448
4	train/batch_box_loss	0.08154985
2	train/epoch_loss	1.94373412
2	train/epoch_acc	0.25000000
2	train/epoch_box_iou	0.19467669
1	eval/loss	2.08258360
1	eval/acc	0.26666667
1	eval/box_iou	0.17883178
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/loss	1.98502427
1	eval/acc	0.26666667
1	eval/box_iou	0.18916293
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
