step	tag	value
1	train/batch_loss	2.75883913
1	train/batch_acc	0.24137931
1	train/batch_box_iou	0.01019947
1	train/batch_cls_loss	1.62423682
1	train/batch_box_loss	0.22692049
2	train/batch_loss	2.57533789
2	train/batch_acc	0.09523810
2	train/batch_box_iou	0.05236229
2	train/batch_cls_loss	1.70182812
2	train/batch_box_loss	0.17470194
3	train/batch_loss	2.57038426
3	train/batch_acc	0.00000000
3	train/batch_box_iou	0.04788489
3	train/batch_cls_loss	1.71495306
3	train/batch_box_loss	0.17108625
4	train/batch_loss	2.60239506
4	train/batch_acc	0.19047619
4	train/batch_box_iou	0.01925500
4	train/batch_cls_loss	1.63272512
4	train/batch_box_loss	0.19393401
5	train/batch_loss	2.64130259
5	train/batch_acc	0.26666667
5	train/batch_box_iou	0.02211213
5	train/batch_cls_loss	1.64371490
5	train/batch_box_loss	0.19951756
6	train/batch_loss	2.75661707
6	train/batch_acc	0.00000000
6	train/batch_box_iou	0.02288202
6	train/batch_cls_loss	1.78260708
6	train/batch_box_loss	0.19480202
7	train/batch_loss	2.55830717
7	train/batch_acc	0.40000000
7	train/batch_box_iou	0.01945754
7	train/batch_cls_loss	1.59507918
7	train/batch_box_loss	0.19264562
8	train/batch_loss	2.52196431
8	train/batch_acc	0.43750000
8	train/batch_box_iou	0.02457045
8	train/batch_cls_loss	1.51629472
8	train/batch_box_loss	0.20113391
1	train/epoch_loss	2.63659292
1	train/epoch_acc	0.19251337
1	train/epoch_box_iou	0.02654843
9	train/batch_loss	2.61327648
9	train/batch_acc	0.09523810
9	train/batch_box_iou	0.01329411
9	train/batch_cls_loss	1.65520239
9	train/batch_box_loss	0.19161484
10	train/batch_loss	2.37072539
10	train/batch_acc	0.50000000
10	train/batch_box_iou	0.02622310
10	train/batch_cls_loss	1.53004861
10	train/batch_box_loss	0.16813534
11	train/batch_loss	2.50710845
11	train/batch_acc	0.11538462
11	train/batch_box_iou	0.06365011
11	train/batch_cls_loss	1.69533443
11	train/batch_box_loss	0.16235481
12	train/batch_loss	2.72235680
12	train/batch_acc	0.04347826
12	train/batch_box_iou	0.00633744
12	train/batch_cls_loss	1.66718471
12	train/batch_box_loss	0.21103445
13	train/batch_loss	2.40785694
13	train/batch_acc	0.07142857
13	train/batch_box_iou	0.02944096
13	train/batch_cls_loss	1.61763287
13	train/batch_box_loss	0.15804479
14	train/batch_loss	2.21669245
14	train/batch_acc	0.11111111
14	train/batch_box_iou	0.05501389
14	train/batch_cls_loss	1.63160253
14	train/batch_box_loss	0.11701797
15	train/batch_loss	2.43944240
15	train/batch_acc	0.06666667
15	train/batch_box_iou	0.01200466
15	train/batch_cls_loss	1.61648369
15	train/batch_box_loss	0.16459173
16	train/batch_loss	2.44541788
16	train/batch_acc	0.14814815
16	train/batch_box_iou	0.03733153
16	train/batch_cls_loss	1.69471574
16	train/batch_box_loss	0.15014040
2	train/epoch_loss	2.47888438
2	train/epoch_acc	0.14197531
2	train/epoch_box_iou	0.03174259
17	train/batch_loss	2.45415211
17	train/batch_acc	0.26666667
17	train/batch_box_iou	0.01587757
17	train/batch_cls_loss	1.61628544
17	train/batch_box_loss	0.16757335
18	train/batch_loss	2.40575743
18	train/batch_acc	0.09375000
18	train/batch_box_iou	0.05218785
18	train/batch_cls_loss	1.67288899
18	train/batch_box_loss	0.14657371
19	train/batch_loss	2.37732363
19	train/batch_acc	0.10526316
19	train/batch_box_iou	0.03265998
19	train/batch_cls_loss	1.66784549
19	train/batch_box_loss	0.14189562
20	train/batch_loss	2.23750401
20	train/batch_acc	0.19230769
20	train/batch_box_iou	0.05632298
20	train/batch_cls_loss	1.58275080
20	train/batch_box_loss	0.13095061
21	train/batch_loss	2.49241400
21	train/batch_acc	0.00000000
21	train/batch_box_iou	0.01548915
21	train/batch_cls_loss	1.63554978
21	train/batch_box_loss	0.17137286
22	train/batch_loss	2.33103633
22	train/batch_acc	0.08333333
22	train/batch_box_iou	0.06216259
22	train/batch_cls_loss	1.65401602
22	train/batch_box_loss	0.13540407
23	train/batch_loss	2.16118383
23	train/batch_acc	0.25000000
23	train/batch_box_iou	0.05598460
23	train/batch_cls_loss	1.54068589
23	train/batch_box_loss	0.12409957
24	train/batch_loss	2.33170247
24	train/batch_acc	0.19354839
24	train/batch_box_iou	0.02667644
24	train/batch_cls_loss	1.60778427
24	train/batch_box_loss	0.14478363
3	train/epoch_loss	2.36131078
3	train/epoch_acc	0.14871795
3	train/epoch_box_iou	0.03870377
1	eval/loss	2.31501431
1	eval/acc	0.21014493
1	eval/box_iou	0.03785961
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/loss	2.31501431
1	eval/acc	0.21014493
1	eval/box_iou	0.03785961
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/params_m	0.00784900
1	eval/gflops	0.08113818
1	eval/fps	117.63014874
