step	tag	value
1	train/batch_loss	2.56213140
1	train/batch_acc	0.00000000
1	train/batch_box_iou	0.01491475
1	train/batch_cls_loss	1.70837164
1	train/batch_box_loss	0.17075193
2	train/batch_loss	2.69526196
2	train/batch_acc	0.00000000
2	train/batch_box_iou	0.02253337
2	train/batch_cls_loss	1.65207672
2	train/batch_box_loss	0.20863703
1	train/epoch_loss	2.64771533
1	train/epoch_acc	0.00000000
1	train/epoch_box_iou	0.01981243
1	eval/loss	2.90528210
1	eval/acc	0.00000000
1	eval/box_iou	0.01660198
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	train/batch_loss	2.63035154
1	train/batch_acc	0.07142857
1	train/batch_box_iou	0.02053506
1	train/batch_cls_loss	1.66974640
1	train/batch_box_loss	0.19212106
2	train/batch_loss	2.65746331
2	train/batch_acc	0.00000000
2	train/batch_box_iou	0.01225697
2	train/batch_cls_loss	1.67432785
2	train/batch_box_loss	0.19662710
3	train/batch_loss	2.86263251
3	train/batch_acc	0.13793103
3	train/batch_box_iou	0.01098752
3	train/batch_cls_loss	1.75966108
3	train/batch_box_loss	0.22059429
4	train/batch_loss	2.52952576
4	train/batch_acc	0.27777778
4	train/batch_box_iou	0.01736873
4	train/batch_cls_loss	1.60748744
4	train/batch_box_loss	0.18440767
5	train/batch_loss	2.85220265
5	train/batch_acc	0.00000000
5	train/batch_box_iou	0.00397469
5	train/batch_cls_loss	1.72126460
5	train/batch_box_loss	0.22618760
6	train/batch_loss	2.60897017
6	train/batch_acc	0.13636364
6	train/batch_box_iou	0.01294396
6	train/batch_cls_loss	1.66995084
6	train/batch_box_loss	0.18780388
7	train/batch_loss	2.58285666
7	train/batch_acc	0.20000000
7	train/batch_box_iou	0.01292131
7	train/batch_cls_loss	1.64819252
7	train/batch_box_loss	0.18693280
8	train/batch_loss	2.62182999
8	train/batch_acc	0.07692308
8	train/batch_box_iou	0.02144949
8	train/batch_cls_loss	1.76417398
8	train/batch_box_loss	0.17153122
1	train/epoch_loss	2.67831400
1	train/epoch_acc	0.11377246
1	train/epoch_box_iou	0.01394041
9	train/batch_loss	2.53200769
9	train/batch_acc	0.06666667
9	train/batch_box_iou	0.01646577
9	train/batch_cls_loss	1.56526124
9	train/batch_box_loss	0.19334929
10	train/batch_loss	2.94717789
10	train/batch_acc	0.06250000
10	train/batch_box_iou	0.00078773
10	train/batch_cls_loss	1.61307478
10	train/batch_box_loss	0.26682061
11	train/batch_loss	2.70360017
11	train/batch_acc	0.00000000
11	train/batch_box_iou	0.01636199
11	train/batch_cls_loss	1.84080374
11	train/batch_box_loss	0.17255928
12	train/batch_loss	2.30306149
12	train/batch_acc	0.00000000
12	train/batch_box_iou	0.03884980
12	train/batch_cls_loss	1.67221463
12	train/batch_box_loss	0.12616937
13	train/batch_loss	2.33722568
13	train/batch_acc	0.00000000
13	train/batch_box_iou	0.02620036
13	train/batch_cls_loss	1.65191555
13	train/batch_box_loss	0.13706201
14	train/batch_loss	2.66414475
14	train/batch_acc	0.04000000
14	train/batch_box_iou	0.01247105
14	train/batch_cls_loss	1.81938004
14	train/batch_box_loss	0.16895294
15	train/batch_loss	2.30658984
15	train/batch_acc	0.25000000
15	train/batch_box_iou	0.01567506
15	train/batch_cls_loss	1.54049349
15	train/batch_box_loss	0.15321927
16	train/batch_loss	2.45943713
16	train/batch_acc	0.15000000
16	train/batch_box_iou	0.00946615
16	train/batch_cls_loss	1.63754988
16	train/batch_box_loss	0.16437744
2	train/epoch_loss	2.55494062
2	train/epoch_acc	0.06756757
2	train/epoch_box_iou	0.01614977
17	train/batch_loss	2.49576283
17	train/batch_acc	0.12500000
17	train/batch_box_iou	0.01507344
17	train/batch_cls_loss	1.58537173
17	train/batch_box_loss	0.18207823
18	train/batch_loss	2.54695630
18	train/batch_acc	0.03703704
18	train/batch_box_iou	0.02283836
18	train/batch_cls_loss	1.80639458
18	train/batch_box_loss	0.14811236
19	train/batch_loss	2.23507619
19	train/batch_acc	0.06666667
19	train/batch_box_iou	0.03418542
19	train/batch_cls_loss	1.59214306
19	train/batch_box_loss	0.12858662
20	train/batch_loss	2.22261286
20	train/batch_acc	0.27777778
20	train/batch_box_iou	0.01845128
20	train/batch_cls_loss	1.48811412
20	train/batch_box_loss	0.14689977
21	train/batch_loss	2.15746474
21	train/batch_acc	0.10000000
21	train/batch_box_iou	0.00805263
21	train/batch_cls_loss	1.53521407
21	train/batch_box_loss	0.12445013
22	train/batch_loss	2.28366256
22	train/batch_acc	0.14285714
22	train/batch_box_iou	0.06127628
22	train/batch_cls_loss	1.76893663
22	train/batch_box_loss	0.10294519
23	train/batch_loss	2.51457119
23	train/batch_acc	0.00000000
23	train/batch_box_iou	0.01644967
23	train/batch_cls_loss	1.80373502
23	train/batch_box_loss	0.14216723
24	train/batch_loss	2.11005878
24	train/batch_acc	0.00000000
24	train/batch_box_iou	0.04756944
24	train/batch_cls_loss	1.56488073
24	train/batch_box_loss	0.10903558
3	train/epoch_loss	2.35849125
3	train/epoch_acc	0.09316770
3	train/epoch_box_iou	0.02936583
1	eval/loss	2.36364132
1	eval/acc	0.17910448
1	eval/box_iou	0.02781533
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/loss	2.36364132
1	eval/acc	0.17910448
1	eval/box_iou	0.02781533
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/params_m	0.00788200
1	eval/gflops	0.08113869
1	eval/fps	228.95168840
