epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.035,1.94405,3.14435,1.41997,0.7543,0.12968,0.29776,0.14223,1.71572,3.02598,1.20763,0.000407801,0.000407801,0.000407801
2,117.441,1.69591,1.71314,1.24672,0.69574,0.44852,0.52514,0.26325,1.68858,2.22917,1.25747,0.000816306,0.000816306,0.000816306
3,157.849,1.66105,1.52264,1.24031,0.52253,0.44494,0.42657,0.20981,1.79856,2.10474,1.35676,0.00121656,0.00121656,0.00121656
4,197.316,1.64275,1.45661,1.23947,0.70208,0.49854,0.5504,0.28755,1.68691,1.6645,1.32317,0.00121287,0.00121287,0.00121287
5,237.169,1.60281,1.34223,1.21668,0.67225,0.5683,0.59349,0.30683,1.65012,1.73216,1.26372,0.0012005,0.0012005,0.0012005
6,277.507,1.58289,1.29027,1.20755,0.71759,0.63031,0.6795,0.3609,1.58507,1.33636,1.21711,0.00118812,0.00118812,0.00118812
7,317.469,1.56135,1.23267,1.19847,0.69165,0.56525,0.62023,0.32885,1.67051,1.38217,1.30414,0.00117575,0.00117575,0.00117575
8,357.615,1.54529,1.19841,1.18919,0.71124,0.61427,0.66882,0.36471,1.60235,1.26452,1.22677,0.00116337,0.00116337,0.00116337
9,398.789,1.53259,1.17605,1.1857,0.74779,0.5938,0.66599,0.35225,1.60374,1.44767,1.24125,0.001151,0.001151,0.001151
10,439.295,1.51866,1.1492,1.17258,0.75703,0.65055,0.71919,0.38644,1.6321,1.19717,1.23456,0.00113863,0.00113863,0.00113863
11,480.258,1.5075,1.12529,1.17102,0.74381,0.61373,0.68422,0.37325,1.61524,1.22133,1.23863,0.00112625,0.00112625,0.00112625
12,520.928,1.50787,1.11222,1.16771,0.77641,0.65098,0.72875,0.40459,1.53206,1.14112,1.20231,0.00111388,0.00111388,0.00111388
13,561.647,1.50201,1.1034,1.16429,0.74857,0.62563,0.69298,0.37796,1.58858,1.18944,1.21993,0.0011015,0.0011015,0.0011015
14,602.619,1.49467,1.08268,1.1615,0.76676,0.62964,0.69918,0.39311,1.57469,1.15454,1.21048,0.00108913,0.00108913,0.00108913
15,643.926,1.48798,1.06219,1.15536,0.76888,0.65397,0.72613,0.41225,1.49515,1.11407,1.17386,0.00107675,0.00107675,0.00107675
16,684.175,1.47562,1.03817,1.15274,0.77662,0.64562,0.72617,0.40155,1.55965,1.12766,1.22032,0.00106437,0.00106437,0.00106437
17,724.863,1.4736,1.03207,1.15013,0.79312,0.7061,0.78297,0.45112,1.47,1.01212,1.16487,0.001052,0.001052,0.001052
