step	tag	value
1	train/batch_loss	3.22649479
1	train/batch_acc	0.14285714
1	train/batch_box_iou	0.01346955
1	train/batch_cls_loss	1.99110377
1	train/batch_box_loss	0.24707820
2	train/batch_loss	3.33369780
2	train/batch_acc	0.00000000
2	train/batch_box_iou	0.01163887
2	train/batch_cls_loss	1.99188352
2	train/batch_box_loss	0.26836285
3	train/batch_loss	3.51497221
3	train/batch_acc	0.00000000
3	train/batch_box_iou	0.00181347
3	train/batch_cls_loss	2.00407457
3	train/batch_box_loss	0.30217952
4	train/batch_loss	3.24865913
4	train/batch_acc	0.00000000
4	train/batch_box_iou	0.01004142
4	train/batch_cls_loss	2.00637054
4	train/batch_box_loss	0.24845774
5	train/batch_loss	3.39020014
5	train/batch_acc	0.00000000
5	train/batch_box_iou	0.00170221
5	train/batch_cls_loss	1.99381375
5	train/batch_box_loss	0.27927727
6	train/batch_loss	3.03137636
6	train/batch_acc	0.12500000
6	train/batch_box_iou	0.02446676
6	train/batch_cls_loss	1.89295435
6	train/batch_box_loss	0.22768442
7	train/batch_loss	3.18979502
7	train/batch_acc	0.00000000
7	train/batch_box_iou	0.01310444
7	train/batch_cls_loss	1.96127653
7	train/batch_box_loss	0.24570373
8	train/batch_loss	3.31627965
8	train/batch_acc	0.00000000
8	train/batch_box_iou	0.00595625
8	train/batch_cls_loss	2.01999569
8	train/batch_box_loss	0.25925678
9	train/batch_loss	3.39233589
9	train/batch_acc	0.00000000
9	train/batch_box_iou	0.00313719
9	train/batch_cls_loss	1.93265986
9	train/batch_box_loss	0.29193518
10	train/batch_loss	3.11669588
10	train/batch_acc	0.11111111
10	train/batch_box_iou	0.00322949
10	train/batch_cls_loss	1.82518578
10	train/batch_box_loss	0.25830200
11	train/batch_loss	3.09615993
11	train/batch_acc	0.07142857
11	train/batch_box_iou	0.00803693
11	train/batch_cls_loss	1.89191091
11	train/batch_box_loss	0.24084984
12	train/batch_loss	2.81630945
12	train/batch_acc	0.00000000
12	train/batch_box_iou	0.01922262
12	train/batch_cls_loss	1.79310012
12	train/batch_box_loss	0.20464186
13	train/batch_loss	3.00640011
13	train/batch_acc	0.00000000
13	train/batch_box_iou	0.00554626
13	train/batch_cls_loss	1.84214044
13	train/batch_box_loss	0.23285191
14	train/batch_loss	3.17862439
14	train/batch_acc	0.00000000
14	train/batch_box_iou	0.01048745
14	train/batch_cls_loss	1.91576302
14	train/batch_box_loss	0.25257227
15	train/batch_loss	2.88483667
15	train/batch_acc	0.00000000
15	train/batch_box_iou	0.00098467
15	train/batch_cls_loss	1.76117826
15	train/batch_box_loss	0.22473167
16	train/batch_loss	3.02390981
16	train/batch_acc	0.00000000
16	train/batch_box_iou	0.00440499
16	train/batch_cls_loss	1.81931770
16	train/batch_box_loss	0.24091841
17	train/batch_loss	3.08538914
17	train/batch_acc	0.00000000
17	train/batch_box_iou	0.00721936
17	train/batch_cls_loss	1.85240626
17	train/batch_box_loss	0.24659660
18	train/batch_loss	2.86277723
18	train/batch_acc	0.10000000
18	train/batch_box_iou	0.00575761
18	train/batch_cls_loss	1.76122165
18	train/batch_box_loss	0.22031114
19	train/batch_loss	2.92209744
19	train/batch_acc	0.00000000
19	train/batch_box_iou	0.00147822
