step	tag	value
1	train/batch_loss	3.22649479
1	train/batch_acc	0.14285714
1	train/batch_box_iou	0.01346955
1	train/batch_cls_loss	1.99110377
1	train/batch_box_loss	0.24707820
2	train/batch_loss	3.33369780
2	train/batch_acc	0.00000000
2	train/batch_box_iou	0.01163887
2	train/batch_cls_loss	1.99188364
2	train/batch_box_loss	0.26836285
3	train/batch_loss	3.51497221
3	train/batch_acc	0.00000000
3	train/batch_box_iou	0.00181347
3	train/batch_cls_loss	2.00407457
3	train/batch_box_loss	0.30217955
4	train/batch_loss	3.24865913
4	train/batch_acc	0.00000000
4	train/batch_box_iou	0.01004142
4	train/batch_cls_loss	2.00637054
4	train/batch_box_loss	0.24845774
5	train/batch_loss	3.39020014
5	train/batch_acc	0.00000000
5	train/batch_box_iou	0.00170221
5	train/batch_cls_loss	1.99381375
5	train/batch_box_loss	0.27927727
6	train/batch_loss	3.03137636
6	train/batch_acc	0.12500000
6	train/batch_box_iou	0.02446676
6	train/batch_cls_loss	1.89295435
6	train/batch_box_loss	0.22768439
7	train/batch_loss	3.18979526
7	train/batch_acc	0.00000000
7	train/batch_box_iou	0.01310444
7	train/batch_cls_loss	1.96127653
7	train/batch_box_loss	0.24570376
8	train/batch_loss	3.31627989
8	train/batch_acc	0.00000000
8	train/batch_box_iou	0.00595625
8	train/batch_cls_loss	2.01999569
8	train/batch_box_loss	0.25925681
1	train/epoch_loss	3.30845127
1	train/epoch_acc	0.02000000
1	train/epoch_box_iou	0.00846390
9	train/batch_loss	3.05674458
9	train/batch_acc	0.11111111
9	train/batch_box_iou	0.00961584
9	train/batch_cls_loss	1.87441802
9	train/batch_box_loss	0.23646529
10	train/batch_loss	3.02802086
10	train/batch_acc	0.00000000
10	train/batch_box_iou	0.00549218
10	train/batch_cls_loss	1.85590208
10	train/batch_box_loss	0.23442374
11	train/batch_loss	2.99826121
11	train/batch_acc	0.00000000
11	train/batch_box_iou	0.01492628
11	train/batch_cls_loss	1.82726765
11	train/batch_box_loss	0.23419870
12	train/batch_loss	3.03711390
12	train/batch_acc	0.16666667
12	train/batch_box_iou	0.00894069
12	train/batch_cls_loss	1.83701777
12	train/batch_box_loss	0.24001922
13	train/batch_loss	2.70147252
13	train/batch_acc	0.14285714
13	train/batch_box_iou	0.04349316
13	train/batch_cls_loss	1.79614222
13	train/batch_box_loss	0.18106605
14	train/batch_loss	3.03109360
14	train/batch_acc	0.00000000
14	train/batch_box_iou	0.00403071
14	train/batch_cls_loss	1.82941794
14	train/batch_box_loss	0.24033512
15	train/batch_loss	2.95277262
15	train/batch_acc	0.14285714
15	train/batch_box_iou	0.03063019
15	train/batch_cls_loss	1.75398076
15	train/batch_box_loss	0.23975834
16	train/batch_loss	3.03870678
16	train/batch_acc	0.00000000
16	train/batch_box_iou	0.00281235
16	train/batch_cls_loss	1.78312397
16	train/batch_box_loss	0.25111654
2	train/epoch_loss	2.98809079
2	train/epoch_acc	0.06153846
2	train/epoch_box_iou	0.01370879
17	train/batch_loss	2.82336116
17	train/batch_acc	0.00000000
17	train/batch_box_iou	0.00882515
17	train/batch_cls_loss	1.79813385
17	train/batch_box_loss	0.20504546
18	train/batch_loss	2.83216143
18	train/batch_acc	0.00000000
18	train/batch_box_iou	0.01595611
18	train/batch_cls_loss	1.81484008
18	train/batch_box_loss	0.20346427
19	train/batch_loss	3.02871752
19	train/batch_acc	0.00000000
19	train/batch_box_iou	0.00474071
19	train/batch_cls_loss	1.77097905
19	train/batch_box_loss	0.25154769
20	train/batch_loss	2.72626686
20	train/batch_acc	0.00000000
20	train/batch_box_iou	0.00610780
20	train/batch_cls_loss	1.67380846
20	train/batch_box_loss	0.21049172
21	train/batch_loss	2.98420811
21	train/batch_acc	0.00000000
21	train/batch_box_iou	0.00546583
21	train/batch_cls_loss	1.72586918
21	train/batch_box_loss	0.25166777
22	train/batch_loss	2.72440386
22	train/batch_acc	0.00000000
22	train/batch_box_iou	0.00096613
22	train/batch_cls_loss	1.64443731
22	train/batch_box_loss	0.21599333
23	train/batch_loss	2.83518720
23	train/batch_acc	0.00000000
23	train/batch_box_iou	0.00596262
23	train/batch_cls_loss	1.73796964
23	train/batch_box_loss	0.21944351
24	train/batch_loss	2.72654963
24	train/batch_acc	0.00000000
24	train/batch_box_iou	0.05581815
24	train/batch_cls_loss	1.73295391
24	train/batch_box_loss	0.19871916
3	train/epoch_loss	2.84999175
3	train/epoch_acc	0.00000000
3	train/epoch_box_iou	0.01433336
1	eval/loss	2.62362707
1	eval/acc	0.00000000
1	eval/box_iou	0.03812043
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/loss	2.62362707
1	eval/acc	0.00000000
1	eval/box_iou	0.03812043
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/params_m	0.01834700
1	eval/gflops	0.16225024
1	eval/fps	429.12065592
