step	tag	value
1	train/batch_loss	1.39314370
1	train/batch_acc	0.00000000
2	train/batch_loss	1.26403828
2	train/batch_acc	0.50000000
1	train/epoch_loss	1.32859099
1	train/epoch_acc	0.25000000
3	train/batch_loss	1.14603489
3	train/batch_acc	1.00000000
4	train/batch_loss	1.03156732
4	train/batch_acc	1.00000000
2	train/epoch_loss	1.08880111
2	train/epoch_acc	1.00000000
1	eval/loss	0.93837461
1	eval/acc	1.00000000
1	train/batch_loss	0.94511169
1	train/batch_acc	1.00000000
2	train/batch_loss	0.84589173
2	train/batch_acc	1.00000000
1	train/epoch_loss	0.89550171
1	train/epoch_acc	1.00000000
3	train/batch_loss	0.78522949
3	train/batch_acc	1.00000000
4	train/batch_loss	0.70021539
4	train/batch_acc	1.00000000
2	train/epoch_loss	0.74272244
2	train/epoch_acc	1.00000000
1	eval/loss	0.64939928
1	eval/acc	1.00000000
1	eval/loss	1.39239585
1	eval/acc	0.25000000
1	train/batch_loss	1.45433545
1	train/batch_acc	0.25000000
2	train/batch_loss	1.43784809
2	train/batch_acc	0.25000000
1	train/epoch_loss	1.44609177
1	train/epoch_acc	0.25000000
3	train/batch_loss	1.29338300
3	train/batch_acc	0.50000000
4	train/batch_loss	1.57385588
4	train/batch_acc	0.25000000
2	train/epoch_loss	1.43361944
2	train/epoch_acc	0.37500000
1	eval/loss	1.39104223
1	eval/acc	0.25000000
1	eval/loss	1.56456542
1	eval/acc	0.25000000
1	eval/box_iou	0.09057210
1	train/batch_loss	1.46291018
1	train/batch_acc	0.50000000
1	train/batch_box_iou	0.09631088
1	train/batch_cls_loss	1.28729558
1	train/batch_box_loss	0.03512291
2	train/batch_loss	1.50791705
2	train/batch_acc	0.00000000
2	train/batch_box_iou	0.10864484
2	train/batch_cls_loss	1.33590770
2	train/batch_box_loss	0.03440186
1	train/epoch_loss	1.48541361
1	train/epoch_acc	0.25000000
1	train/epoch_box_iou	0.10247786
3	train/batch_loss	1.91114187
3	train/batch_acc	0.00000000
3	train/batch_box_iou	0.10686099
3	train/batch_cls_loss	1.72853744
3	train/batch_box_loss	0.03652088
4	train/batch_loss	1.47084856
4	train/batch_acc	0.25000000
4	train/batch_box_iou	0.09113131
4	train/batch_cls_loss	1.29492569
4	train/batch_box_loss	0.03518458
2	train/epoch_loss	1.69099522
2	train/epoch_acc	0.12500000
2	train/epoch_box_iou	0.09899615
1	eval/loss	1.56098312
1	eval/acc	0.25000000
1	eval/box_iou	0.09208049
1	eval/loss	2.37303960
1	eval/acc	0.20000000
1	eval/box_iou	0.10517594
1	train/batch_loss	2.46372247
1	train/batch_acc	0.00000000
1	train/batch_box_iou	0.10491323
1	train/batch_cls_loss	1.72966802
1	train/batch_box_loss	0.14681089
2	train/batch_loss	2.39720917
2	train/batch_acc	0.22222222
2	train/batch_box_iou	0.08387679
2	train/batch_cls_loss	1.68227351
2	train/batch_box_loss	0.14298716
1	train/epoch_loss	2.42850954
1	train/epoch_acc	0.11764706
1	train/epoch_box_iou	0.09377629
3	train/batch_loss	2.19191217
3	train/batch_acc	0.44444444
3	train/batch_box_iou	0.12097324
3	train/batch_cls_loss	1.65013623
3	train/batch_box_loss	0.10835516
4	train/batch_loss	2.36407804
4	train/batch_acc	0.20000000
4	train/batch_box_iou	0.08850161
4	train/batch_cls_loss	1.65212154
4	train/batch_box_loss	0.14239129
2	train/epoch_loss	2.25339999
2	train/epoch_acc	0.35714286
2	train/epoch_box_iou	0.10937623
1	eval/loss	2.19618306
1	eval/acc	0.20000000
1	eval/box_iou	0.11180158
1	train/batch_loss	2.21348548
1	train/batch_acc	0.12500000
1	train/batch_box_iou	0.16271493
1	train/batch_cls_loss	1.68424129
1	train/batch_box_loss	0.10584883
2	train/batch_loss	2.16080523
2	train/batch_acc	0.22222222
2	train/batch_box_iou	0.14394216
2	train/batch_cls_loss	1.65476453
2	train/batch_box_loss	0.10120814
1	train/epoch_loss	2.18559593
1	train/epoch_acc	0.17647059
1	train/epoch_box_iou	0.15277641
3	train/batch_loss	2.10675931
3	train/batch_acc	0.11111111
3	train/batch_box_iou	0.15840226
3	train/batch_cls_loss	1.62887919
3	train/batch_box_loss	0.09557601
4	train/batch_loss	2.07830620
4	train/batch_acc	0.00000000
4	train/batch_box_iou	0.14802967
4	train/batch_cls_loss	1.62368393
4	train/batch_box_loss	0.09092446
2	train/epoch_loss	2.09659748
2	train/epoch_acc	0.07142857
2	train/epoch_box_iou	0.15469777
1	eval/loss	2.06630648
1	eval/acc	0.20000000
1	eval/box_iou	0.16449945
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
