step	tag	value
1	train/batch_loss	2.87559152
1	train/batch_acc	0.30000000
1	train/batch_box_iou	0.01647889
1	train/batch_cls_loss	1.67743814
1	train/batch_box_loss	0.23963067
2	train/batch_loss	2.54364491
2	train/batch_acc	0.40000000
2	train/batch_box_iou	0.05009380
2	train/batch_cls_loss	1.63768756
2	train/batch_box_loss	0.18119147
3	train/batch_loss	2.71636057
3	train/batch_acc	0.31250000
3	train/batch_box_iou	0.01770939
3	train/batch_cls_loss	1.60587204
3	train/batch_box_loss	0.22209772
4	train/batch_loss	2.57667422
4	train/batch_acc	0.19047619
4	train/batch_box_iou	0.05271359
4	train/batch_cls_loss	1.70737517
4	train/batch_box_loss	0.17385980
5	train/batch_loss	2.45654368
5	train/batch_acc	0.42857143
5	train/batch_box_iou	0.04988576
5	train/batch_cls_loss	1.57475460
5	train/batch_box_loss	0.17635782
6	train/batch_loss	2.30568671
6	train/batch_acc	0.36000000
6	train/batch_box_iou	0.06666701
6	train/batch_cls_loss	1.55380177
6	train/batch_box_loss	0.15037699
7	train/batch_loss	2.43324661
7	train/batch_acc	0.33333333
7	train/batch_box_iou	0.06589760
7	train/batch_cls_loss	1.61052167
7	train/batch_box_loss	0.16454500
8	train/batch_loss	2.63838148
8	train/batch_acc	0.19230769
8	train/batch_box_iou	0.01628426
8	train/batch_cls_loss	1.62946212
8	train/batch_box_loss	0.20178390
9	train/batch_loss	2.74847126
9	train/batch_acc	0.27777778
9	train/batch_box_iou	0.00905578
9	train/batch_cls_loss	1.57692027
9	train/batch_box_loss	0.23431021
10	train/batch_loss	2.56564999
10	train/batch_acc	0.16666667
10	train/batch_box_iou	0.01219902
10	train/batch_cls_loss	1.61948180
10	train/batch_box_loss	0.18923362
11	train/batch_loss	2.41072202
11	train/batch_acc	0.33333333
11	train/batch_box_iou	0.02601591
11	train/batch_cls_loss	1.52854753
11	train/batch_box_loss	0.17643490
12	train/batch_loss	2.41334391
12	train/batch_acc	0.40909091
12	train/batch_box_iou	0.01773688
12	train/batch_cls_loss	1.56598473
12	train/batch_box_loss	0.16947183
13	train/batch_loss	2.31201839
13	train/batch_acc	0.21739130
13	train/batch_box_iou	0.07888681
13	train/batch_cls_loss	1.55916643
13	train/batch_box_loss	0.15057039
14	train/batch_loss	2.30941224
14	train/batch_acc	0.08333333
14	train/batch_box_iou	0.04096801
14	train/batch_cls_loss	1.62277508
14	train/batch_box_loss	0.13732743
15	train/batch_loss	2.32183695
15	train/batch_acc	0.40909091
15	train/batch_box_iou	0.02223425
15	train/batch_cls_loss	1.48988199
15	train/batch_box_loss	0.16639102
16	train/batch_loss	2.29449558
16	train/batch_acc	0.13793103
16	train/batch_box_iou	0.05339262
16	train/batch_cls_loss	1.58236706
16	train/batch_box_loss	0.14242569
17	train/batch_loss	2.37725329
17	train/batch_acc	0.11764706
17	train/batch_box_iou	0.02721087
17	train/batch_cls_loss	1.59853113
17	train/batch_box_loss	0.15574442
18	train/batch_loss	2.33344412
18	train/batch_acc	0.17391304
18	train/batch_box_iou	0.05353054
18	train/batch_cls_loss	1.62106133
18	train/batch_box_loss	0.14247654
19	train/batch_loss	2.42495155
19	train/batch_acc	0.14814815
19	train/batch_box_iou	0.02096282
19	train/batch_cls_loss	1.70002246
19	train/batch_box_loss	0.14498580
20	train/batch_loss	2.26415420
20	train/batch_acc	0.38888889
20	train/batch_box_iou	0.01638163
20	train/batch_cls_loss	1.43803346
20	train/batch_box_loss	0.16522413
21	train/batch_loss	2.05875921
21	train/batch_acc	0.40000000
21	train/batch_box_iou	0.03867825
21	train/batch_cls_loss	1.42929518
21	train/batch_box_loss	0.12589283
22	train/batch_loss	2.30893707
22	train/batch_acc	0.12000000
22	train/batch_box_iou	0.01424331
22	train/batch_cls_loss	1.61496174
22	train/batch_box_loss	0.13879505
23	train/batch_loss	2.43429899
23	train/batch_acc	0.05263158
23	train/batch_box_iou	0.00814779
23	train/batch_cls_loss	1.65669632
23	train/batch_box_loss	0.15552056
24	train/batch_loss	2.15322065
24	train/batch_acc	0.34375000
24	train/batch_box_iou	0.02545384
24	train/batch_cls_loss	1.50391412
24	train/batch_box_loss	0.12986128
25	train/batch_loss	2.37186241
25	train/batch_acc	0.14814815
25	train/batch_box_iou	0.01239577
25	train/batch_cls_loss	1.70713520
25	train/batch_box_loss	0.13294545
26	train/batch_loss	2.22935176
26	train/batch_acc	0.11538462
26	train/batch_box_iou	0.04278619
26	train/batch_cls_loss	1.63236070
26	train/batch_box_loss	0.11939823
27	train/batch_loss	2.03012609
27	train/batch_acc	0.35294118
27	train/batch_box_iou	0.02218455
