step	tag	value
1	train/batch_loss	2.87559152
1	train/batch_acc	0.30000000
1	train/batch_box_iou	0.01647889
1	train/batch_cls_loss	1.67743814
1	train/batch_box_loss	0.23963067
2	train/batch_loss	2.54364491
2	train/batch_acc	0.40000000
2	train/batch_box_iou	0.05009380
2	train/batch_cls_loss	1.63768756
2	train/batch_box_loss	0.18119147
3	train/batch_loss	2.71636057
3	train/batch_acc	0.31250000
3	train/batch_box_iou	0.01770939
3	train/batch_cls_loss	1.60587204
3	train/batch_box_loss	0.22209772
4	train/batch_loss	2.57667398
4	train/batch_acc	0.19047619
4	train/batch_box_iou	0.05271359
4	train/batch_cls_loss	1.70737505
4	train/batch_box_loss	0.17385980
5	train/batch_loss	2.45654368
5	train/batch_acc	0.42857143
5	train/batch_box_iou	0.04988576
5	train/batch_cls_loss	1.57475460
5	train/batch_box_loss	0.17635782
6	train/batch_loss	2.30568671
6	train/batch_acc	0.36000000
6	train/batch_box_iou	0.06666701
6	train/batch_cls_loss	1.55380177
6	train/batch_box_loss	0.15037699
7	train/batch_loss	2.43324661
7	train/batch_acc	0.33333333
7	train/batch_box_iou	0.06589760
7	train/batch_cls_loss	1.61052167
7	train/batch_box_loss	0.16454500
8	train/batch_loss	2.63838196
8	train/batch_acc	0.19230769
8	train/batch_box_iou	0.01628424
8	train/batch_cls_loss	1.62946224
8	train/batch_box_loss	0.20178391
1	train/epoch_loss	2.55813145
1	train/epoch_acc	0.31176471
1	train/epoch_box_iou	0.04260768
9	train/batch_loss	2.26540661
9	train/batch_acc	0.20000000
9	train/batch_box_iou	0.08915044
9	train/batch_cls_loss	1.60762715
9	train/batch_box_loss	0.13155589
10	train/batch_loss	2.64420462
10	train/batch_acc	0.04347826
10	train/batch_box_iou	0.01769092
10	train/batch_cls_loss	1.64487362
10	train/batch_box_loss	0.19986618
11	train/batch_loss	2.38027120
11	train/batch_acc	0.14285714
11	train/batch_box_iou	0.03624355
11	train/batch_cls_loss	1.61467969
11	train/batch_box_loss	0.15311831
12	train/batch_loss	2.36740160
12	train/batch_acc	0.45454545
12	train/batch_box_iou	0.03350455
12	train/batch_cls_loss	1.56387234
12	train/batch_box_loss	0.16070583
13	train/batch_loss	2.39517927
13	train/batch_acc	0.15789474
13	train/batch_box_iou	0.02300489
13	train/batch_cls_loss	1.56505418
13	train/batch_box_loss	0.16602503
14	train/batch_loss	2.48692250
14	train/batch_acc	0.26086957
14	train/batch_box_iou	0.03092419
14	train/batch_cls_loss	1.57486606
14	train/batch_box_loss	0.18241130
15	train/batch_loss	2.34997129
15	train/batch_acc	0.40000000
15	train/batch_box_iou	0.02174531
15	train/batch_cls_loss	1.51129520
15	train/batch_box_loss	0.16773522
16	train/batch_loss	2.37503910
16	train/batch_acc	0.16000000
16	train/batch_box_iou	0.05739383
16	train/batch_cls_loss	1.57406473
16	train/batch_box_loss	0.16019489
2	train/epoch_loss	2.41764075
2	train/epoch_acc	0.21604938
2	train/epoch_box_iou	0.03704099
17	train/batch_loss	2.51600266
17	train/batch_acc	0.18750000
17	train/batch_box_iou	0.00667909
17	train/batch_cls_loss	1.60751152
17	train/batch_box_loss	0.18169820
18	train/batch_loss	2.47082877
18	train/batch_acc	0.32258065
18	train/batch_box_iou	0.01041776
18	train/batch_cls_loss	1.61071575
18	train/batch_box_loss	0.17202261
19	train/batch_loss	2.37927437
19	train/batch_acc	0.08333333
19	train/batch_box_iou	0.01975990
19	train/batch_cls_loss	1.67033076
19	train/batch_box_loss	0.14178869
20	train/batch_loss	2.12811327
20	train/batch_acc	0.29629630
20	train/batch_box_iou	0.05273178
20	train/batch_cls_loss	1.51869035
20	train/batch_box_loss	0.12188459
21	train/batch_loss	2.19471455
21	train/batch_acc	0.23809524
21	train/batch_box_iou	0.03684641
21	train/batch_cls_loss	1.50318098
21	train/batch_box_loss	0.13830674
22	train/batch_loss	2.20381451
22	train/batch_acc	0.11764706
22	train/batch_box_iou	0.01871065
22	train/batch_cls_loss	1.55653584
22	train/batch_box_loss	0.12945573
23	train/batch_loss	2.15700841
23	train/batch_acc	0.33333333
23	train/batch_box_iou	0.02502403
23	train/batch_cls_loss	1.52477622
23	train/batch_box_loss	0.12644644
24	train/batch_loss	2.02889967
24	train/batch_acc	0.28000000
24	train/batch_box_iou	0.09633313
24	train/batch_cls_loss	1.53625882
24	train/batch_box_loss	0.09852817
3	train/epoch_loss	2.25494121
3	train/epoch_acc	0.24468085
3	train/epoch_box_iou	0.03459385
1	eval/loss	2.11895146
1	eval/acc	0.23188406
1	eval/box_iou	0.04573569
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/loss	2.11895146
1	eval/acc	0.23188406
1	eval/box_iou	0.04573569
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	eval/params_m	0.01828100
1	eval/gflops	0.16224922
1	eval/fps	127.17920309
