step	tag	value
1	train/batch_loss	2.92289448
1	train/batch_acc	0.50000000
1	train/batch_box_iou	0.01028770
1	train/batch_cls_loss	1.65614033
1	train/batch_box_loss	0.25335082
2	train/batch_loss	2.95141268
2	train/batch_acc	0.20000000
2	train/batch_box_iou	0.01230700
2	train/batch_cls_loss	1.86814904
2	train/batch_box_loss	0.21665272
1	eval/loss	2.87956158
1	eval/acc	0.19047619
1	eval/box_iou	0.02457660
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	train/epoch_loss	2.93585730
1	train/epoch_acc	0.36363636
1	train/epoch_box_iou	0.01120557
1	eval/loss	2.85454925
1	eval/acc	0.19047619
1	eval/box_iou	0.02491112
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	train/batch_loss	2.89965272
1	train/batch_acc	0.36363636
1	train/batch_box_iou	0.01094327
1	train/batch_cls_loss	1.72904205
1	train/batch_box_loss	0.23412213
2	train/batch_loss	2.89047480
2	train/batch_acc	0.13636364
2	train/batch_box_iou	0.03367855
2	train/batch_cls_loss	1.81455779
2	train/batch_box_loss	0.21518339
3	train/batch_loss	2.86519122
3	train/batch_acc	0.04166667
3	train/batch_box_iou	0.02042728
3	train/batch_cls_loss	1.78459930
3	train/batch_box_loss	0.21611838
4	train/batch_loss	3.02196026
4	train/batch_acc	0.00000000
4	train/batch_box_iou	0.01379211
4	train/batch_cls_loss	1.83732843
4	train/batch_box_loss	0.23692635
5	train/batch_loss	2.83523393
5	train/batch_acc	0.38888889
5	train/batch_box_iou	0.01813463
5	train/batch_cls_loss	1.77741265
5	train/batch_box_loss	0.21156424
6	train/batch_loss	2.74732471
6	train/batch_acc	0.13636364
6	train/batch_box_iou	0.02711884
6	train/batch_cls_loss	1.81432772
6	train/batch_box_loss	0.18659939
7	train/batch_loss	2.87906742
7	train/batch_acc	0.16666667
7	train/batch_box_iou	0.01549061
7	train/batch_cls_loss	1.81106472
7	train/batch_box_loss	0.21360053
8	train/batch_loss	2.91297245
8	train/batch_acc	0.48000000
8	train/batch_box_iou	0.01777008
8	train/batch_cls_loss	1.72737980
8	train/batch_box_loss	0.23711850
1	train/epoch_loss	2.88215953
1	train/epoch_acc	0.21511628
