step	tag	value
1	train/batch_loss	2.97044396
1	train/batch_acc	0.36363636
1	train/batch_box_iou	0.01077057
1	train/batch_cls_loss	1.76324832
1	train/batch_box_loss	0.24143912
2	train/batch_loss	2.92125750
2	train/batch_acc	0.13636364
2	train/batch_box_iou	0.03187556
2	train/batch_cls_loss	1.82748222
2	train/batch_box_loss	0.21875502
1	train/epoch_loss	2.94585073
1	train/epoch_acc	0.25000000
1	train/epoch_box_iou	0.02132307
1	eval/loss	2.89718109
1	eval/acc	0.16666667
1	eval/box_iou	0.02592115
1	eval/map50	0.00000000
1	eval/map50_95	0.00000000
1	train/early_stop_loss	2.89718109
3	train/batch_loss	2.88534498
3	train/batch_acc	0.10714286
3	train/batch_box_iou	0.01557686
3	train/batch_cls_loss	1.78015327
3	train/batch_box_loss	0.22103834
4	train/batch_loss	3.07552147
4	train/batch_acc	0.23076923
4	train/batch_box_iou	0.01185549
4	train/batch_cls_loss	1.74909091
4	train/batch_box_loss	0.26528609
2	train/epoch_loss	2.97691144
2	train/epoch_acc	0.16666667
2	train/epoch_box_iou	0.01378509
2	eval/loss	2.86990281
2	eval/acc	0.16666667
2	eval/box_iou	0.02575678
2	eval/map50	0.00000000
2	eval/map50_95	0.00000000
2	train/early_stop_loss	2.86990281
5	train/batch_loss	2.91118622
5	train/batch_acc	0.13043478
5	train/batch_box_iou	0.01989489
5	train/batch_cls_loss	1.84992242
5	train/batch_box_loss	0.21225274
6	train/batch_loss	2.87081623
6	train/batch_acc	0.42857143
6	train/batch_box_iou	0.00955560
6	train/batch_cls_loss	1.74610996
6	train/batch_box_loss	0.22494128
3	train/epoch_loss	2.89191872
3	train/epoch_acc	0.27272727
3	train/epoch_box_iou	0.01496023
3	eval/loss	2.84607675
3	eval/acc	0.16666667
3	eval/box_iou	0.02598291
3	eval/map50	0.00000000
3	eval/map50_95	0.00000000
3	train/early_stop_loss	2.84607675
7	train/batch_loss	2.83353591
7	train/batch_acc	0.19230769
7	train/batch_box_iou	0.02597659
7	train/batch_cls_loss	1.78497171
7	train/batch_box_loss	0.20971283
8	train/batch_loss	2.76048088
8	train/batch_acc	0.30434783
8	train/batch_box_iou	0.02443023
8	train/batch_cls_loss	1.75980568
8	train/batch_box_loss	0.20013507
4	train/epoch_loss	2.79924477
4	train/epoch_acc	0.24489796
4	train/epoch_box_iou	0.02525075
4	eval/loss	2.80630163
4	eval/acc	0.16666667
4	eval/box_iou	0.02630683
4	eval/map50	0.00000000
4	eval/map50_95	0.00000000
4	train/early_stop_loss	2.80630163
9	train/batch_loss	2.93523216
9	train/batch_acc	0.23809524
9	train/batch_box_iou	0.00622419
9	train/batch_cls_loss	1.78295159
9	train/batch_box_loss	0.23045613
10	train/batch_loss	2.81543899
10	train/batch_acc	0.26315789
10	train/batch_box_iou	0.01943607
10	train/batch_cls_loss	1.77699447
10	train/batch_box_loss	0.20768891
5	train/epoch_loss	2.87833040
5	train/epoch_acc	0.25000000
5	train/epoch_box_iou	0.01249983
5	eval/loss	2.79082052
5	eval/acc	0.16666667
5	eval/box_iou	0.02715770
5	eval/map50	0.00000000
5	eval/map50_95	0.00000000
5	train/early_stop_loss	2.79082052
11	train/batch_loss	2.66876960
11	train/batch_acc	0.45000000
11	train/batch_box_iou	0.02264978
11	train/batch_cls_loss	1.70292377
11	train/batch_box_loss	0.19316916
12	train/batch_loss	2.55721760
12	train/batch_acc	0.40000000
12	train/batch_box_iou	0.02609689
12	train/batch_cls_loss	1.78008842
12	train/batch_box_loss	0.15542583
6	train/epoch_loss	2.63158560
6	train/epoch_acc	0.43333333
6	train/epoch_box_iou	0.02379882
6	eval/loss	2.76463320
6	eval/acc	0.19444444
6	eval/box_iou	0.02747229
6	eval/map50	0.00000000
6	eval/map50_95	0.00000000
6	train/early_stop_loss	2.76463320
